dataset;X;Y;OBJECTID;ID;NOMBRE;MODALIDAD;TIPO;DIRECCION;MUNICIPIO;TELEFONO;UTM_X;UTM_Y;PLAZAS;SIGNATURA;OBSERVACIO;Estado;Est_LLav
alojamientos;-19.821.047.509;33.530.190.509;1;1;Palma Romántica, La;Hotelera;Hotel;Topo de Las Llanadas;Barlovento;922186221;226214;3191506;77;H-38/5/0026;H/***;Tramitado;3
alojamientos;-19.818.572.272;33.529.664.743;2;2;Casa La Fontiña;Extrahotelera;Casa Rural;Las Paredes, 1;Barlovento;922186527;226430;3191455;8;CR-1;UCU;Tramitado;0
alojamientos;-19.804.442.717;33.519.329.202;3;3;Casa Eloína;Extrahotelera;Casa Rural;Lomo de La Florida, 20;Barlovento;922451267;227648;3190524;4;CR-15;UE;Tramitado;0
alojamientos;-19.803.825.353;33.519.744.894;4;4;Casa Peluquina;Extrahotelera;Casa Rural;Lomo de La Florida, 22;Barlovento;922430625;227703;3190559;4;CR-16;UE;Tramitado;0
alojamientos;-19.799.787.985;33.519.691.169;5;5;Casa Simón;Extrahotelera;Casa Rural;Lomo Viejo;Barlovento;922450697;228057;3190546;4;CR-17;UE;Tramitado;0
alojamientos;-19.816.673.192;3.352.988.171;6;6;Casa Facundo;Extrahotelera;Casa Rural;Lomo Machín Alto;Barlovento;922186153;226597;3191470;7;CR-63;UCU;Tramitado;0
alojamientos;-19.800.724.797;3.351.977.222;7;7;Casa Antonito;Extrahotelera;Casa Rural;Lomo de La Florida, 32;Barlovento;922450697;227975;3190555;3;CR-64;UE;Tramitado;0
alojamientos;-19.833.439.698;33.538.801.261;8;8;Casa La Tosca;Extrahotelera;Casa Rural;La Tosca, 25;Barlovento;619180199;225145;3192283;4;CR-137;UE;Tramitado;0
alojamientos;-19.805.941.539;33.518.090.464;9;9;Casa La Florida;Extrahotelera;Casa Rural;Lomo de La Florida, 11;Barlovento;922402792;227514;3190419;5;CR-170;UE;Tramitado;0
alojamientos;-19.804.873.583;33.555.309.493;10;10;Fajana, La;Extrahotelera;Apartamento;Fajana del Saladar;Barlovento;922186162;227684;3193664;12;E-38/5/0109;A/1LL;Tramitado;1
alojamientos;-19.798.370.942;33.344.299.538;11;13;Casa La Principal;Extrahotelera;Casa Rural;Cmno. La Glorieta, 16;Breña Alta;922413759;227823;3175229;8;CR-68;UCU;Tramitado;0
alojamientos;-19.797.815.054;33.333.107.912;12;14;Casa La Cueva;Extrahotelera;Casa Rural;Buenavista de Abajo, 29;Breña Alta;922437084;227849;3174250;4;CR-69;UE;Tramitado;0
alojamientos;-19.809.721.134;33.306.096.525;13;15;Casa Armari (A);Extrahotelera;Casa Rural;Cmno. La Cueva, 7;Breña Alta;922437169;226748;3171914;3;CR-87;UE;Tramitado;0
alojamientos;-19.809.589.863;33.305.836.444;14;16;Casa Armari (C);Extrahotelera;Casa Rural;Cmno. La Cueva, 7;Breña Alta;922437169;226759;3171891;5;CR-88;UE;Tramitado;0
