dataset;X;Y;OBJECTID;Id;Nombre;Dirección;Teléfono;email
museos;-198.007.404.804.867;333.339.282.776.117;1;1;Museo del Puro y de la Fiesta de Las Cruces;Parque De los Álamos. San Pedro., 38700 Breña Alta;922429567; 
museos;-199.039.363.079.162;333.138.487.730.584;2;2;Museo-Taller de La Seda Las Hilanderas;;0;
museos;-199.129.901.961.757;332.426.792.747.043;3;3;Casa Museo del Vino Las Manchas;;0;
museos;-19.940.422.719.455;333.233.987.564.203;4;4;Museo de Arte Sacro;;0;
museos;-199.375.181.577.567;333.203.558.099.691;5;5;Museo Arqueológico Benahoarita;Calle de Las Adelfas,3 38760 Los Llanos de Aridane;922464609;mab@cablapalma.es
museos;-197.545.337.409.224;334.278.745.156.368;6;6;Museo Etnográfico y Centro de Artesanía Casa Luj;;0;
museos;-197.727.478.770.914;333.588.062.384.338;7;7;Museo Insular San Francisco;Plaza San Francisco,3 38700 Santa Cruz de La Palma;922423100; 
museos;-197.716.100.290.969;333.602.139.372.904;8;8;Museo Naval;Avenida Las Nieves,1-a 38700 Santa Cruz de La Palma;0; 
museos;-197.772.669.282.621;333.528.946.999.949;9;9;Museo de Arte Contemporáneo;Calle Virgen de La Luz ,13 38700 Santa Cruz de La Palma;922423100; 
museos;-197.914.626.188.867;332.577.449.486.973;10;10;C. Div. Corpus Christi y Museo  Bordado Casa Roja;Calle Maximiliano Pérez Díaz, 38730 Villa de Mazo;922428587; 
museos;-199.650.448.692.607;333.024.358.801.056;11;11;Museo del Plátano;;0;
museos;-197.918.357.437.156;335.060.700.937.302;12;12;Museo Etnográfico Molino del Regente;;0;
museos;-199.879.482.458.848;333.889.050.276.923;13;13;Museo Etnográfico Casa del Maestro;;0;
museos;-199.398.598.921.804;333.226.975.800.156;14;14;Foro de Arte Contemporáneo al aire libre;;0;
