tipo,atributos/atributo/0/_nombre,atributos/atributo/0/__text,atributos/atributo/1/_nombre,atributos/atributo/1/__text,atributos/atributo/2/_nombre,atributos/atributo/2/__cdata,atributos/atributo/3/_nombre,atributos/atributo/3/__cdata,atributos/atributo/4/_nombre,atributos/atributo/4/__cdata,atributos/atributo/5/_nombre,atributos/atributo/5/__cdata,atributos/atributo/6/_nombre,atributos/atributo/6/__text,atributos/atributo/7/_nombre,atributos/atributo/7/__text,atributos/atributo/8/atributo/0/_nombre,atributos/atributo/8/atributo/0/__text,atributos/atributo/8/atributo/1/_nombre,atributos/atributo/8/atributo/1/__text,atributos/atributo/8/atributo/2/_nombre,atributos/atributo/8/atributo/2/__text,atributos/atributo/8/atributo/3/_nombre,atributos/atributo/8/atributo/3/__text,atributos/atributo/8/atributo/4/_nombre,atributos/atributo/8/atributo/4/__text,atributos/atributo/8/atributo/5/_nombre,atributos/atributo/8/atributo/5/__text,atributos/atributo/8/atributo/6/_nombre,atributos/atributo/8/atributo/6/__text,atributos/atributo/8/atributo/7/_nombre,atributos/atributo/8/atributo/7/__text,atributos/atributo/8/atributo/8/_nombre,atributos/atributo/8/atributo/8/__text,atributos/atributo/8/atributo/9/_nombre,atributos/atributo/8/atributo/9/__text,atributos/atributo/8/atributo/10/_nombre,atributos/atributo/8/atributo/10/__text,atributos/atributo/8/atributo/11/_nombre,atributos/atributo/8/atributo/11/__text,atributos/atributo/8/atributo/12/_nombre,atributos/atributo/8/atributo/12/__text,atributos/atributo/8/atributo/13/_nombre,atributos/atributo/8/atributo/13/__text,atributos/atributo/8/atributo/14/_nombre,atributos/atributo/8/atributo/14/__text,atributos/atributo/8/atributo/15/_nombre,atributos/atributo/8/atributo/15/__text,atributos/atributo/8/_nombre,atributos/atributo/9/atributo/0/_nombre,atributos/atributo/9/atributo/0/__text,atributos/atributo/9/atributo/1/_nombre,atributos/atributo/9/atributo/1/__text,atributos/atributo/9/_nombre,atributos/atributo/10/_nombre,atributos/atributo/10/__text,atributos/_idioma,atributos/atributo/4/__text,atributos/atributo/5/__text,atributos/atributo/6/atributo/0/_nombre,atributos/atributo/6/atributo/0/__text,atributos/atributo/6/atributo/1/_nombre,atributos/atributo/6/atributo/1/__text,atributos/atributo/6/atributo/2/_nombre,atributos/atributo/6/atributo/2/__text,atributos/atributo/6/atributo/3/_nombre,atributos/atributo/6/atributo/3/__text,atributos/atributo/6/atributo/4/_nombre,atributos/atributo/6/atributo/4/__text,atributos/atributo/6/atributo/5/_nombre,atributos/atributo/6/atributo/5/__text,atributos/atributo/6/atributo/6/_nombre,atributos/atributo/6/atributo/6/__text,atributos/atributo/6/atributo/7/_nombre,atributos/atributo/6/atributo/7/__text,atributos/atributo/6/atributo/8/_nombre,atributos/atributo/6/atributo/8/__text,atributos/atributo/6/atributo/9/_nombre,atributos/atributo/6/atributo/9/__text,atributos/atributo/6/atributo/10/_nombre,atributos/atributo/6/atributo/10/__text,atributos/atributo/6/atributo/11/_nombre,atributos/atributo/6/atributo/11/__text,atributos/atributo/6/atributo/12/_nombre,atributos/atributo/6/atributo/12/__text,atributos/atributo/6/atributo/13/_nombre,atributos/atributo/6/atributo/13/__text,atributos/atributo/6/atributo/14/_nombre,atributos/atributo/6/atributo/14/__text,atributos/atributo/7/atributo/0/_nombre,atributos/atributo/7/atributo/0/__text,atributos/atributo/7/atributo/1/_nombre,atributos/atributo/7/atributo/1/__text,atributos/atributo/8/__text,atributos/atributo/7/atributo/2/_nombre,atributos/atributo/7/atributo/2/__text,atributos/atributo/7/atributo/3/_nombre,atributos/atributo/7/atributo/3/__text,atributos/atributo/7/atributo/4/_nombre,atributos/atributo/7/atributo/4/__text,atributos/atributo/7/atributo/5/_nombre,atributos/atributo/7/atributo/5/__text,atributos/atributo/7/atributo/6/_nombre,atributos/atributo/7/atributo/6/__text,atributos/atributo/7/atributo/7/_nombre,atributos/atributo/7/atributo/7/__text,atributos/atributo/7/atributo/8/_nombre,atributos/atributo/7/atributo/8/__text,atributos/atributo/7/atributo/9/_nombre,atributos/atributo/7/atributo/9/__text,atributos/atributo/7/atributo/10/_nombre,atributos/atributo/7/atributo/10/__text,atributos/atributo/7/atributo/11/_nombre,atributos/atributo/7/atributo/11/__text,atributos/atributo/7/atributo/12/_nombre,atributos/atributo/7/atributo/12/__text,atributos/atributo/7/atributo/13/_nombre,atributos/atributo/7/atributo/13/__text,atributos/atributo/7/atributo/14/_nombre,atributos/atributo/7/atributo/14/__text,atributos/atributo/9/__text,atributos/atributo/3/__text,atributos/atributo/5/atributo/0/_nombre,atributos/atributo/5/atributo/0/__text,atributos/atributo/5/atributo/1/_nombre,atributos/atributo/5/atributo/1/__text,atributos/atributo/5/atributo/2/_nombre,atributos/atributo/5/atributo/2/__text,atributos/atributo/5/atributo/3/_nombre,atributos/atributo/5/atributo/3/__text,atributos/atributo/5/atributo/4/_nombre,atributos/atributo/5/atributo/4/__text,atributos/atributo/5/atributo/5/_nombre,atributos/atributo/5/atributo/5/__text,atributos/atributo/5/atributo/6/_nombre,atributos/atributo/5/atributo/6/__text,atributos/atributo/5/atributo/7/_nombre,atributos/atributo/5/atributo/7/__text,atributos/atributo/5/atributo/8/_nombre,atributos/atributo/5/atributo/8/__text,atributos/atributo/5/atributo/9/_nombre,atributos/atributo/5/atributo/9/__text,atributos/atributo/5/atributo/10/_nombre,atributos/atributo/5/atributo/10/__text,atributos/atributo/5/atributo/11/_nombre,atributos/atributo/5/atributo/11/__text,atributos/atributo/5/atributo/12/_nombre,atributos/atributo/5/atributo/12/__text,atributos/atributo/5/atributo/13/_nombre,atributos/atributo/5/atributo/13/__text,atributos/atributo/5/atributo/14/_nombre,atributos/atributo/5/atributo/14/__text,atributos/atributo/5/atributo/15/_nombre,atributos/atributo/5/atributo/15/__text,atributos/atributo/5/atributo/16/_nombre,atributos/atributo/5/atributo/16/__text,atributos/atributo/6/atributo/15/_nombre,atributos/atributo/6/atributo/15/__text,atributos/atributo/6/atributo/16/_nombre,atributos/atributo/6/atributo/16/__text,atributos/atributo/7/atributo/15/_nombre,atributos/atributo/7/atributo/15/__text,atributos/atributo/6/__cdata,atributos/atributo/9/atributo/2/_nombre,atributos/atributo/9/atributo/2/__text,atributos/atributo/9/atributo/3/_nombre,atributos/atributo/9/atributo/3/__text,atributos/atributo/9/atributo/4/_nombre,atributos/atributo/9/atributo/4/__text,atributos/atributo/9/atributo/5/_nombre,atributos/atributo/9/atributo/5/__text,atributos/atributo/9/atributo/6/_nombre,atributos/atributo/9/atributo/6/__text,atributos/atributo/9/atributo/7/_nombre,atributos/atributo/9/atributo/7/__text,atributos/atributo/9/atributo/8/_nombre,atributos/atributo/9/atributo/8/__text,atributos/atributo/9/atributo/9/_nombre,atributos/atributo/9/atributo/9/__text,atributos/atributo/9/atributo/10/_nombre,atributos/atributo/9/atributo/10/__text,atributos/atributo/9/atributo/11/_nombre,atributos/atributo/9/atributo/11/__text,atributos/atributo/9/atributo/12/_nombre,atributos/atributo/9/atributo/12/__text,atributos/atributo/9/atributo/13/_nombre,atributos/atributo/9/atributo/13/__text,atributos/atributo/9/atributo/14/_nombre,atributos/atributo/9/atributo/14/__text,atributos/atributo/9/atributo/15/_nombre,atributos/atributo/9/atributo/15/__text,atributos/atributo/10/atributo/0/_nombre,atributos/atributo/10/atributo/0/__text,atributos/atributo/10/atributo/1/_nombre,atributos/atributo/10/atributo/1/__text,atributos/atributo/11/_nombre,atributos/atributo/11/__text
EntidadesYOrganismos,ID-ENTIDAD,7805,NOMBRE,Centro de Turismo Plaza Mayor,DESCRIPCION-ENTIDAD,Madrid cuenta en el Salón de Columnas de la Casa de la Panadería de la céntrica Plaza Mayor con uno de los más modernos centros turísticos del país que ofrece atención especializada con una plantilla de profesionales expertos en turismo e idiomas que atiende personalmente a los visitantes y da respuesta también a todas las peticiones de información que se realizan de manera no presencial. Centro de turismo cofinanciado por el Fondo Europeo de Desarrollo Regional.,HORARIO,"Horario de atención al público de 9:30 a 20:30 horas, todos los días del año. Horario taquilla: martes a domingo de 10:30 a 14:30 y de 16:30 a 20:30 h. Lunes cerrado.",EQUIPAMIENTO,"Atención presencial en varios idiomas  Atención especializada  Servicio de atención no presencial (teléfono 915 787 810 y email turismo@esmadrid.com) Atención por Whatsapp 619 111 094 Autoconsulta con folletos descargables mediante código QR Wifi gratuita Taquilla de Teatros Municipales (abierta de martes a domingo, de 10:30 a 14:30 y de 16:30 a 20:30 horas) Punto de venta del Madrid City Tour (solo pago con tarjeta de crédito)  Tienda con recuerdos y artesanías madrileñas (solo pago con tarjeta de crédito)   Accesibilidad:     Programa de visitas guiadas accesibles (previa reserva)     Lengua de Signos Española     Bucles magnéticos (3)     Encaminamientos podotáctiles     Apoyos isquiáticos     Plano háptico     Mostrador adaptado     Guía de Turismo Accesible     Área tecnológica: Audiovisuales  El Centro de Turismo de Plaza Mayor está certificado en la UNE 170001-2 de Accesibilidad Universal.",TRANSPORTE,"Metro: Sol (líneas 1, 2, 3), Ópera (línea 2, 5, Ramal)  Bus: 17, 18, 23, 31, 50, 65  Renfe: Sol (líneas C3, C4)  Bicimad: Estaciones 31  (calle Mayor, 20),  32 (plaza Provincia , 1 )    Parking: Plaza Mayor (55), Plaza Mayor",ACCESIBILIDAD,"1,4,5,6",CONTENT-URL,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b0a093e5fd61c010VgnVCM1000000b205a0aRCRD,NOMBRE-VIA,MAYOR,CLASE-VIAL,PLAZA,TIPO-NUM,V,NUM,27,ORIENTACION,Casa de la Panadería,LOCALIDAD,MADRID,PROVINCIA,MADRID,CODIGO-POSTAL,28012,COD-BARRIO,6,BARRIO,SOL,COD-DISTRITO,1,DISTRITO,CENTRO,COORDENADA-X,439983,COORDENADA-Y,4474154,LATITUD,40.41583855082183,LONGITUD,-3.7074257084323636,LOCALIZACION,TELEFONO,915 787 810,EMAIL,turismo@esmadrid.com,DATOSCONTACTOS,TIPO,/contenido/entidadesYorganismos/OficinasTurismo,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EntidadesYOrganismos,ID-ENTIDAD,11209095,NOMBRE,Centro de Turismo de Sol. Comunidad de Madrid,HORARIO,"De lunes a sábado de 9 a 20 horas. Domingos y festivos de 9 a 14 horas. Cerrado 1 enero, 1 mayo y 25 diciembre.",TRANSPORTE,"Metro: Sol (línea 1, 2, 3)  Bus: 002, M1, SE712  Renfe: Sol (C3, C3a, C4)  Bicimad: Estación 33 (calle Carretas, 8) / Estación 1 a y b (Puerta del Sol, 1)",ACCESIBILIDAD,,CONTENT-URL,,LOCALIZACION,,DATOSCONTACTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIPO,,,,,,,,es,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8ff104fc413c3710VgnVCM2000001f4a900aRCRD,NOMBRE-VIA,PUERTA DEL SOL,CLASE-VIAL,PLAZA,TIPO-NUM,V,NUM,5,LOCALIDAD,MADRID,PROVINCIA,MADRID,CODIGO-POSTAL,28013,COD-BARRIO,6,BARRIO,SOL,COD-DISTRITO,1,DISTRITO,CENTRO,COORDENADA-X,440372,COORDENADA-Y,4474236,LATITUD,40.41661777543638,LONGITUD,-3.702829899539909,TELEFONO,912 723 400,EMAIL,turismo@madrid.org,/contenido/entidadesYorganismos/OficinasTurismo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EntidadesYOrganismos,ID-ENTIDAD,10692696,NOMBRE,Madrid Film Office,DESCRIPCION-ENTIDAD,"Madrid Film Office es un servicio público del Ayuntamiento de Madrid que tiene como misión promocionar la ciudad como escenario de rodaje de producciones audiovisuales, asistir a las empresas y a los profesionales que eligen la ciudad de Madrid para llevar a cabo sus proyectos, apoyar al sector audiovisual madrileño y estimular la inversión y el desarrollo local. Madrid Film Office colabora desde la fase de preproducción para facilitar la búsqueda de localizaciones, te asesora en materia de permisos y te acompaña durante el desarrollo de los proyectos audiovisuales en la ciudad de Madrid. La oficina está abierta a consultas y solicitudes de asistencia por vía telefónica o email. Si deseas una atención presencial, solicita cita previa a través del correo electrónico info@madridfilmoffice.com.",HORARIO,Horario de trabajo de la oficina: de 9 a 16 horas.,EQUIPAMIENTO,"Funciones que presta  La oficina ofrece los siguientes servicios básicos a los productores que desean rodar en Madrid:  1. Ayuda en la búsqueda de localizaciones para rodajes  Apoyo en la búsqueda de localizaciones que se adecúen a las necesidades de las producciones y asesoría en el terreno de la logística de producción y postproducción a desarrollar en Madrid. Madrid Film Office cuenta con un catálogo con sugerencias de localizaciones para rodajes en la ciudad de Madrid: https://madridfilmoffice.com/localizaciones/.   2. Orientación en la gestión de permisos de rodaje  Información sobre gestores, procedimientos, tarifas y buenas prácticas para la obtención de permisos de rodaje en espacios municipales, así como localizaciones institucionales y privadas. Madrid Film Office no tiene autoridad para dar los permisos de rodaje en ningún espacio municipal o extramunicipal, actuando únicamente como una oficina de orientación en la búsqueda del titular correspondiente y de apoyo en el proceso de petición de los permisos. En el caso de los espacios municipales:  Los permisos de rodaje en vía pública, parques y jardines los otorga el Negociado de Autorizaciones de Rodaje, perteneciente al Área de Gobierno de Medio Ambiente y Movilidad. Cuenta con dos tipos de permisos de rodaje, que se pueden solicitar electrónica o presencialmente en sus oficinas (C/ Albarracín, 33). Los permisos de rodaje en edificios e instalaciones municipales los otorgan los diferentes y múltiples órganos municipales de los que son competencia. Por ejemplo, los centros deportivos y culturales municipales suelen gestionarlos las Juntas Municipales de Distrito en las que se ubican, los cementerios municipales los gestiona la Empresa Municipal de Servicios Funerarios y Cementerios de Madrid, etc.   3. Asistencia en la gestión de servicios municipales  Mediación entre el sector audiovisual y el amplio abanico de departamentos municipales con el que pueden necesitar contactar y colaborar (alumbrado, zonas verdes, mobiliario urbano, etc.). En este sentido, conocidos los servicios que el productor necesita, Madrid Film Office se presta a ayudar en:  La búsqueda de los posibles interlocutores municipales implicados. El estudio de la viabilidad de la petición solicitada. La coordinación entre empresa y departamento municipal.   4.  Información sobre empresas y profesionales del sector audiovisual   Madrid Film Office pone a disposición de los interesados un directorio de profesionales y de empresas del sector audiovisual en Madrid:   Empresas: https://madridfilmoffice.com/directorio-empresas/  Profesionales: https://madridfilmoffice.com/directorio-profesionales/",TRANSPORTE,"Metro: Sol (líneas 1, 2, 3), Ópera (línea 2, 5, Ramal)  Bus: 50, 31, 65, SE712, 17, 002, 35, 18, 23  Renfe: Sol.  Bicimad: Estación 32 (plaza Provincia, 1) / estación 31 (calle Mayor, 20)  Aparcamiento: Plaza Mayor (55), Plaza Mayor",ACCESIBILIDAD,1,CONTENT-URL,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b72a196f7d003610VgnVCM2000001f4a900aRCRD,NOMBRE-VIA,MAYOR,CLASE-VIAL,PLAZA,TIPO-NUM,V,NUM,27,ORIENTACION,Casa de la Panadería,LOCALIDAD,MADRID,PROVINCIA,MADRID,CODIGO-POSTAL,28012,COD-BARRIO,6,BARRIO,SOL,COD-DISTRITO,1,DISTRITO,CENTRO,COORDENADA-X,439983,COORDENADA-Y,4474154,LATITUD,40.41583855082183,LONGITUD,-3.7074257084323636,LOCALIZACION,TELEFONO,913 184 588,EMAIL,info@madridfilmoffice.com,DATOSCONTACTOS,TIPO,/contenido/entidadesYorganismos/OficinasTurismo,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EntidadesYOrganismos,ID-ENTIDAD,7836,NOMBRE,Oficina Joven Comunidad de Madrid. TIVE. Moncloa,HORARIO,De 9 a 19 horas de abril a septiembre. De 9 a 14 horas de octubre a marzo.,EQUIPAMIENTO,"Información:   Actividades culturales, deportivas y de ocio Carnés Cursos y talleres Garantía juvenil   Trámites:   Expedición de carnés Inscripción Garantía Juvenil",TRANSPORTE,"Metro: Moncloa (líneas 3 y 6).  Bus: 1, 138, 44, 62, C2, 001, 132, 82, 16, 61, 133, 83, G, C1, 161, 46, 160, 162.  Bicimad:  Estaciones 111 a y b (calle Arcipreste de Hita, 12),  110 (paseo de Moret, 2).",ACCESIBILIDAD,,CONTENT-URL,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=397e19d41471c010VgnVCM1000000b205a0aRCRD,LOCALIZACION,,TELEFONO,915 437 412,EMAIL,correo.cridj@madrid.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATOSCONTACTOS,,,,,TIPO,,,es,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOMBRE-VIA,FERNANDO EL CATOLICO,CLASE-VIAL,CALLE,,TIPO-NUM,V,NUM,88,LOCALIDAD,MADRID,PROVINCIA,MADRID,CODIGO-POSTAL,28015,COD-BARRIO,1,BARRIO,GAZTAMBIDE,COD-DISTRITO,7,DISTRITO,CHAMBERI,COORDENADA-X,439119,COORDENADA-Y,4476224,LATITUD,40.43442331966472,LONGITUD,-3.717795251173153,/contenido/entidadesYorganismos/OficinasTurismo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EntidadesYOrganismos,ID-ENTIDAD,10127255,NOMBRE,Oficina de Turismo de Andalucía en Madrid,TRANSPORTE,"Metro: Goya (líneas 2, 4), O'Donnell (línea 6), Príncipe de Vergara (líneas 2, 9)   Bus: 30, C1, E4, 146, 21, 43, 53, 26, 61, E5, 215, C2, 152, 63    Bicimad: Estación 100 (calle Goya, 99)   Aparcamiento: Felipe II (26), avenida. Felipe II y calle Goya)",ACCESIBILIDAD,,CONTENT-URL,,LOCALIZACION,,DATOSCONTACTOS,,TIPO,/contenido/entidadesYorganismos/OficinasTurismo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d0abc974d4ae6510VgnVCM1000001d4a900aRCRD,,TELEFONO,912 031 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,NOMBRE-VIA,FELIPE II,CLASE-VIAL,AVENIDA,TIPO-NUM,V,NUM,15,PLANTA,1ª,LOCALIDAD,MADRID,PROVINCIA,MADRID,CODIGO-POSTAL,28009,COD-BARRIO,2,BARRIO,GOYA,COD-DISTRITO,4,DISTRITO,SALAMANCA,COORDENADA-X,442841,COORDENADA-Y,4475057,LATITUD,40.424183525039,LONGITUD,-3.673810495427334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EntidadesYOrganismos,ID-ENTIDAD,27402,NOMBRE,Oficina de Turismo de Andorra,TRANSPORTE,"Metro: Retiro (línea 2), Serrano (línea 4), Banco de España (línea 2)  Autobuses: 28, 1, 146, 15, 19, 2, 20, 51, 52, 74, 9  Bicimad: Estación 60 (Plaza de la Independencia, 6) / estación 107 (calle Serrano, 8)  Cercanias: Recoletos (C1, C2, C7, C8, C10)",ACCESIBILIDAD,,CONTENT-URL,,LOCALIZACION,,DATOSCONTACTOS,,TIPO,/contenido/entidadesYorganismos/OficinasTurismo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eb68444a2951c010VgnVCM2000000c205a0aRCRD,,TELEFONO,914 317 453 / 900 834 804,EMAIL,info.es@visitandorra.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,NOMBRE-VIA,ALCALA,CLASE-VIAL,CALLE,TIPO-NUM,V,NUM,73,LOCALIDAD,MADRID,PROVINCIA,MADRID,CODIGO-POSTAL,28009,COD-BARRIO,1,BARRIO,RECOLETOS,COD-DISTRITO,4,DISTRITO,SALAMANCA,COORDENADA-X,441686,COORDENADA-Y,4474654,LATITUD,40.420463942385524,LONGITUD,-3.6873880759267004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EntidadesYOrganismos,ID-ENTIDAD,127469,NOMBRE,Oficina de Turismo de Brasil,TRANSPORTE,"Metro: Alonso Martínez (líneas 4, 5, 10), Rubén Darío (línea 5), Colón (línea 4)  Bus: 7  Cercanías: Recoletos (C1, C2, C7, C8, C10)  Aparcamiento: Almagro (12), calle Almagro, 11",ACCESIBILIDAD,,CONTENT-URL,,LOCALIZACION,,DATOSCONTACTOS,,TIPO,/contenido/entidadesYorganismos/OficinasTurismo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b15d47048781c010VgnVCM1000000b205a0aRCRD,,TELEFONO,917 004 650,EMAIL,secom.madrid@itamaraty.gov.br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,NOMBRE-VIA,ALMAGRO,CLASE-VIAL,CALLE,TIPO-NUM,V,NUM,28,PLANTA,2ª,LOCALIDAD,MADRID,PROVINCIA,MADRID,CODIGO-POSTAL,28010,COD-BARRIO,4,BARRIO,ALMAGRO,COD-DISTRITO,7,DISTRITO,CHAMBERI,COORDENADA-X,441238,COORDENADA-Y,4475736,LATITUD,40.43017960044132,LONGITUD,-3.692768600492918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EntidadesYOrganismos,ID-ENTIDAD,1637,NOMBRE,Oficina de Turismo de Galicia en Madrid,HORARIO,Consultar.,TRANSPORTE,"Bus: 19  Bicimad: Estación 68 (calle Espalter, 1)",ACCESIBILIDAD,,CONTENT-URL,,LOCALIZACION,,DATOSCONTACTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIPO,,,,,,,,es,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b6f40a47f441f010VgnVCM2000000c205a0aRCRD,NOMBRE-VIA,CASADO DEL ALISAL,CLASE-VIAL,CALLE,TIPO-NUM,V,NUM,8,LOCALIDAD,MADRID,PROVINCIA,MADRID,CODIGO-POSTAL,28014,COD-BARRIO,5,BARRIO,LOS JERONIMOS,COD-DISTRITO,3,DISTRITO,RETIRO,COORDENADA-X,441408,COORDENADA-Y,4473920,LATITUD,40.413841115871094,LONGITUD,-3.6906090973201957,TELEFONO,915 954 214,FAX,915 954 268,/contenido/entidadesYorganismos/OficinasTurismo,EMAIL,ot.gal.madrid@xunta.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EntidadesYOrganismos,ID-ENTIDAD,6416785,NOMBRE,Oficina de Turismo de Guatemala,TRANSPORTE,"Metro: Cuzco (línea 10)  Bus: 147, 27, 5, 11, 40",ACCESIBILIDAD,,CONTENT-URL,,LOCALIZACION,,DATOSCONTACTOS,,TIPO,/contenido/entidadesYorganismos/OficinasTurismo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=df5f44e4373f6310VgnVCM1000000b205a0aRCRD,,TELEFONO,913 440 347 / 913 441 417,EMAIL,turismo@embajadaguatemala.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,NOMBRE-VIA,CASTELLANA,CLASE-VIAL,PASEO,TIPO-NUM,V,NUM,178,PLANTA,6,PUERTA,IZQUIERDA,LOCALIDAD,MADRID,PROVINCIA,MADRID,CODIGO-POSTAL,28046,COD-BARRIO,5,BARRIO,NUEVA ESPAÑA,COD-DISTRITO,5,DISTRITO,CHAMARTIN,COORDENADA-X,441569,COORDENADA-Y,4479133,LATITUD,40.46081583825652,LONGITUD,-3.689177427623146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EntidadesYOrganismos,ID-ENTIDAD,39693,NOMBRE,Oficina de Turismo de Irán,TRANSPORTE,"Metro: Avenida de América (líneas 4, 6, 7, 9), Gregorio Marañón (líneas 7, 10), Núñez de Balboa (líneas 5, 9)  Bus: 16, 19, 51, 9, 12  Bicimad: Estación 140 (calle Velázquez, 130)",ACCESIBILIDAD,,CONTENT-URL,,LOCALIZACION,,DATOSCONTACTOS,,TIPO,/contenido/entidadesYorganismos/OficinasTurismo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=66e6e7510551c010VgnVCM2000000c205a0aRCRD,,TELEFONO,915 643 613,EMAIL,iran@iransara.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,NOMBRE-VIA,MARIA DE MOLINA,CLASE-VIAL,CALLE,TIPO-NUM,V,NUM,26,PLANTA,1ª,PUERTA,IZQUIERDA,LOCALIDAD,MADRID,PROVINCIA,MADRID,CODIGO-POSTAL,28006,COD-BARRIO,6,BARRIO,CASTELLANA,COD-DISTRITO,4,DISTRITO,SALAMANCA,COORDENADA-X,441920,COORDENADA-Y,4476551,LATITUD,40.4375784193194,LONGITUD,-3.6848033506224906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
