idpoi,title,layer,type,tipo,subcategoria,address,postcode,phone,web,description,image_uri,lat,lon,mp3_uri,lang
8251,Illas Cíes,alojamientos,24,Pensión,Pensión 1 estrella,"Martín Codax, 7",1º,36201,986224378,The hostel can accommodate seven people in five rooms.,,42.2355841178181,-8.71644838646638,,es-ES
8250,Gran Vía,alojamientos,24,Pensión,Pensión 3 estrellas,"Gran Vía, 41-5º",36204,986415444,www.hostalgranvia.com,La pensión cuenta con 28 plazas repartidas en 15 habitaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/alo022.jpg,42.2313289886964,-8.7180447336453,,es-ES
8230,Alda Estación,alojamientos,14,Hotel,Hotel de 1 estrella,"Alfonso XIII, 17-19",36201,986438911,www.recamar.com,"Céntrico y acogedor hotel de Vigo, en la provincia de Pontevedra, el Hotel Recamar es un confortable establecimiento que le permitirá disfrutar de una agradable estancia en Vigo.",http://www.turismodevigo.org/sites/turismodevigo/files/alo002.jpg,42.235224070922,-8.715151126775822,,es-ES
8231,Sol-Por,alojamientos,14,Hotel,Hotel de 1 estrella,"Vía Norte, 9-1º A",36206,986416036,www.hotelsolpor.com,"Pequeño hotel próximo a la estación de tren de Urzáiz, frente al hospital de Fátima.",http://www.turismodevigo.org/sites/turismodevigo/files/alo003.jpg,42.2348591245786,-8.70890742159952,,es-ES
8303,Inffinit,alojamientos,14,Hotel,Hotel de 3 estrellas,"Marqués de Valladares, 8",36201,986442224,www.inffinit.com,"Edificio rehabilitado en 2009. Un hotel urbano, con un elegante y cuidado diseño, tanto interior como exterior, que escapa de las estridencias formales y donde se cuida hasta el mas mínimo detalle.",http://www.turismodevigo.org/sites/turismodevigo/files/alo076.jpg,42.2390843967642,-8.722294990654405,,es-ES
8294,B&B Vigo,alojamientos,14,Hotel,Hotel de 3 estrellas,"Alfonso XIII, 11",36201,986447440,www.ensenadavigo.com,"Hotel próximo al puerto de Vigo. Situado en el nucleo urbano de Vigo, ubicado en la zona comercial y financiera de la ciudad, a 700 metros de la estacion de ferrocarril y 15 minutos del aeropuerto.",http://www.turismodevigo.org/sites/turismodevigo/files/alo067.jpg,42.2355109870083,-8.715367045873336,,es-ES
8311,NH Collection Palacio de Vigo,alojamientos,14,Hotel,Hotel de 4 estrellas,"Avda García Barbón, 17-19",36201,986433643,www.nh-hotels.com,El hotel NH Collection Palacio de Vigo ofrece 108 elegantes y acogedoras habitaciones en un edificio histórico completamente renovado que data de 1904. La fachada original de granito y la carpintería interior están realzadas con las más modernas comodidades.,http://www.turismodevigo.org/sites/turismodevigo/files/alo084.jpg,42.2374677412219,-8.718657310864842,,es-ES
10246,O Castro,alojamientos,14,Hotel,Residencia de estudiantes,"Rúa Xeración Nos, 4",36310,986031000,http://www.resa.es/Residencias/O-Castro,"Dispone de 21 habitaciones individuales con cocina y 204 habitaciones individuales con cocina compartida. Todas las habitaciones tienen baño propio, teléfono, calefacción, internet, antena de tv y conexión vía satélite. Habitaciones adaptadas a discapacitados.",http://www.turismodevigo.org/sites/turismodevigo/files/alo101.jpg,42.1709965,-8.686300599999981,,es-ES
10245,Kaps hostel,alojamientos,23,Albergue,,"Rúa Emilia Pardo Bazán, 12",36204,986 11 00 10,http://www.hostelvigo.com,"En el corazón de la ciudad de Vigo, cerca de la estación de tren y autobús, así como de dos centros comerciales, KAPS HOSTEL VIGO es una de las mejores opciones para disfrutar de tu estancia en Vigo y en las Rías Baixas. Un lugar tranquilo, con un ambiente agradable y unas instalaciones modernas y actuales que te haran disfrutar al máximo.",http://www.turismodevigo.org/sites/turismodevigo/files/alo500_0.jpg,42.22758719999999,-8.71863200000007,,es-ES
8283,Atlántico,alojamientos,14,Hotel,Hotel de 2 estrellas,"García Barbón, 35",36201,986220530,www.hotelatlanticovigo.com,El Hotel Atlántico es un moderno y funcional hotel anclado en el centro de la ciudad de Vigo.,http://www.turismodevigo.org/sites/turismodevigo/files/alo055.jpg,42.2371879852373,-8.7176643232259,,es-ES
8300,Gran Hotel Nagari,alojamientos,14,Hotel,Hotel de 5 estrellas,Praza de Compostela,36201,986211111,www.gruposolvidahoteles.com/spa/nagari_boutique_spa.php,"Ubicado en un edificio histórico, conserva su imponente fachada catalogada. Ya en su interior totalmente reformado- el diseño de cada uno de sus espacios está marcado por líneas clásicas y orientales fusionadas con el vanguardismo más moderno.",http://www.turismodevigo.org/sites/turismodevigo/files/alo073.jpg,42.240845223896,-8.71986483512658,,es-ES
8293,El Águila,alojamientos,14,Hotel,Hotel de 1 estrella,"Victoria, 6",36201,986431398,www.hotelaguila.com,En pleno centro comercial y a muy pocos metros del paseo marítimo donde se encuentra el Club nautico y Puerto Comercial.,,42.2387490821213,-8.72427957833081,,es-ES
8280,Ac Hotel Palacio Universal,alojamientos,14,Hotel,Hotel de 4 estrellas,"Cánovas del Castillo, 28",36202,986449250,www.espanol.marriott.com/hotels/travel/vgopa-ac-hotel-palacio-universal,"El AC Hotel Palacio Universal, construido a finales del siglo XIX y ubicado en el corazón de la ciudad. Se encuentra muy cerca del centro histórico y no muy lejos de la playa, del paseo marítimo y del centro de exposiciones.",http://www.turismodevigo.org/sites/turismodevigo/files/alo052.jpg,42.2400392950089,-8.7246151813054,,es-ES
8291,Compostela,alojamientos,14,Hotel,Hotel de 2 estrellas,"García Olloqui, 5",36201,986228227,www.hcompostela.com,"El hotel dispone de 30 habitaciones confortables equipadas con lo último en calidad y servicios, para hacerle de su alojamiento en nuestra ciudad una estancia agradable y satisfactoria.",http://www.turismodevigo.org/sites/turismodevigo/files/alo064.jpg,42.239720281362,-8.72439602489276,,es-ES
8290,Coia,alojamientos,14,Hotel,Hotel de 4 estrellas,"Sanxenxo, 1",36209,986201820,www.hotelcoia.com/hotel-overview.html,"they have the most modern audio-visual facilities. Restaurant, snack bar, TV room, free car park. Wifi access in all the premises.",,42.2191611706781,-8.74547999911297,,es-ES
