idpoi;title;layer;type;tipo;subcategoria;address;postcode;phone;web;description;image_uri;lat;lon;mp3_uri;lang
8639;Monumento a los Galeones de Rande;lugares;39;Monumentos;Escultura;Monte do Castro;36203;;;Obra del arquitecto Desiderio Pernas, es una gran plataforma sobre la que están situadas tres anclas de navíos hundidos en la Batalla de Rande, librada en la Ría de Vigo en 1702 entre la armada anglo-holandesa y una flota  hispana y francesa.;http://www.turismodevigo.org/sites/turismodevigo/files/lug274.jpg;422.334.156.413.138;-8.726.611.864.171.210;http://www.turismodevigo.org/sites/turismodevigo/files/lug274es.mp3;es-ES
8402;MARCO. Museo de Arte Contemporánea de Vigo;lugares;38;Museos;Centro de arte contemporánea;Príncipe, 54;36202;986113900;www.marcovigo.com;MARCO no tiene colección permanente y funciona como centro de arte contemporáneo, con un programa de exposiciones temporales y un conjunto de actividades paralelas de las que el programa educativo es una parte esencial.;http://www.turismodevigo.org/sites/turismodevigo/files/lug020.jpg;422.359.738.934.723;-8.721.122.108.231.490;http://www.turismodevigo.org/sites/turismodevigo/files/09-museo_de_arte_contemporaneo_de_vigo_1.mp3;es-ES
8688;Auditorio del Museo de Arte Contemporánea de Vigo (MARCO);lugares;37;Edificios singulares;Auditorio;Príncipe, 54;36202;986113900;www.marcovigo.com;Espacio habilitado para la realización de eventos públicos.;http://www.turismodevigo.org/sites/turismodevigo/files/lug325.jpg;422.358.593.745.221;-8.721.064.892.983.570;http://www.turismodevigo.org/sites/turismodevigo/files/09-museo_de_arte_contemporaneo_de_vigo_0.mp3;es-ES
8720;"Museo Municipal de Vigo ""Quiñones de León""";lugares;45;Paradas del bus turístico;Posible visita a pie;Parque de Castrelos, s/n;36213;986291600;www.vitrasa.es;Parada frente al museo Quiñones de León.;http://www.turismodevigo.org/sites/turismodevigo/files/lug364.jpg;422.143.011.493.124;-8.727.182.229.966.040;http://www.turismodevigo.org/sites/turismodevigo/files/08-museo_quinones_de_leon_0.mp3;es-ES
8406;"Museo Municipal de Vigo ""Quiñones de León""";lugares;38;Museos;Arquitectura civil;Parque de Castrelos, s/n;36213;986295070;www.museodevigo.org;El museo municipal de Vigo íQuiñones de Leóní es una institución, dependiente del ayuntamiento de Vigo, encuadrada, actualmente, en Cultura, Fiestas y Museos.;http://www.turismodevigo.org/sites/turismodevigo/files/lug024.jpg;422.131.763.333.631;-8.727.810.303.803.150;http://www.turismodevigo.org/sites/turismodevigo/files/08-museo_quinones_de_leon.mp3;es-ES
8433;Casa Enrique Mülder;lugares;37;Edificios singulares;Arquitectura civil;Avda Montero Ríos, 22;36201;;;Es una de las obras con carácter más modernista del arquitecto Gómez Román aunque también presenta influencias eclécticas, vienesas y belgas.;http://www.turismodevigo.org/sites/turismodevigo/files/lug052.jpg;422.402.628.825.264;-8.722.306.001.475.540;http://www.turismodevigo.org/sites/turismodevigo/files/07-edificio_mulder_cast.mp3;es-ES
8459;Colegiata de Santa María (Concatedral);lugares;37;Edificios singulares;Arquitectura religiosa;Plaza de la Colegiata;36202;;;Edificio religioso de estilo Neoclásico de principios del siglo XIX, obra de Melchor de Prado. Actualmente es Concatedral de la diócesis de Tui-Vigo.;http://www.turismodevigo.org/sites/turismodevigo/files/lug078.jpg;422.392.728.022.593;-8.725.825.075.030.340;http://www.turismodevigo.org/sites/turismodevigo/files/06-concatedral_de_vigo_cast.mp3;es-ES
8428;Casa de Pazos e Figueroa;lugares;37;Edificios singulares;Arquitectura civil;Plaza de Almeida, 4;36202;;;Palacete urbano situado en el barrio histórico de la ciudad. Forma unidad arquitectónica con la Casa de Ceta;;;;;
8615;Villa Romana de Toralla;lugares;38;Museos;Yacimiento;Canido - Barrio Illa de Toralla - Carretera PO 324;36391;986810260;;La principal particularidad de este yacimiento, que data de los siglos IV y V después de Cristo, es que es la única villa de Galicia que está excavada íntegramente y puede ser visitada.;http://www.turismodevigo.org/sites/turismodevigo/files/lug250.jpg;421.962.806.038.844;-8.795.211.533.448.760;http://www.turismodevigo.org/sites/turismodevigo/files/04-villa_romana_de_toralla.mp3;es-ES
8714;Barcos de la Batalla de la Bahía de Vigo;lugares;40;Ría de Vigo;Pecio;Estrecho de Rande, ría de Vigo;;;;"Integrado por los restos de los buques hundidos en la Batalla de Rande, conocida internacionalmente como la ""Batalla de la Bahía de Vigo"", librada en octubre de 1702 entre una escuadra franco-española y una anglo-holandesa.";http://www.turismodevigo.org/sites/turismodevigo/files/lug358.jpg;422.888.816.448.946;-8.659.976.877.087.610;http://www.turismodevigo.org/sites/turismodevigo/files/03-batalla_de_rande_cast.mp3;es-ES
9247;Casco histórico;lugares;45;Paradas del bus turístico;;;;;;;;4.223.822.029.999.990;-8.729.712.800.000.010;http://www.turismodevigo.org/sites/turismodevigo/files/60_casco_historico.mp3;es-ES
9216;Los Curros;lugares;45;Paradas del bus turístico;;;;;;;;422.292.599;-8.720.090.000.000.020;http://www.turismodevigo.org/sites/turismodevigo/files/25_los_curros.mp3;es-ES
9215;Plaza de España;lugares;45;Paradas del bus turístico;;;;;;;;42.229.355;-8.720.435.500.000.000;http://www.turismodevigo.org/sites/turismodevigo/files/23_plaza_de_espana.mp3;es-ES
9107;Puerta del Sol;lugares;45;Paradas del bus turístico;;;;;;"<p><span style=""color: rgb(0, 0, 0)";;;;;
9116;Fortaleza, castro y mirador;lugares;45;Paradas del bus turístico;;;;;;;;422.311.069;-8.725.125.700.000.030;http://www.turismodevigo.org/sites/turismodevigo/files/22_el_castro_-_fortaleza_-_mirador.mp3;es-ES
9115;Historia del Castro de Vigo;lugares;45;Paradas del bus turístico;;;;;;;;422.299.843;-8.722.568.899.999.940;http://www.turismodevigo.org/sites/turismodevigo/files/21_historia_vigo_-_los_castros_-_martin_codax.mp3;es-ES
9114;Cachamuíña;lugares;45;Paradas del bus turístico;;;;;;;;422.339.049;-8.725.235.300.000.000;http://www.turismodevigo.org/sites/turismodevigo/files/020.mp3;es-ES
9113;Ayuntamiento;lugares;45;Paradas del bus turístico;;;;;;;;422.351.098;-8.727.381.400.000.010;http://www.turismodevigo.org/sites/turismodevigo/files/19_ayuntamiento_-_gerencia_de_urbanismo.mp3;es-ES
9112;Panificadora;lugares;45;Paradas del bus turístico;;;;;;;;4.223.391.930.556.610;-8.719.024.658.203.120;http://www.turismodevigo.org/sites/turismodevigo/files/18_panificadora.mp3;es-ES
9111;Vistas Cíes;lugares;45;Paradas del bus turístico;;;;;;;;422.366.426;-8.728.085.999.999.960;http://www.turismodevigo.org/sites/turismodevigo/files/17_vistas_islas_cies_-_cangas_-_moana.mp3;es-ES
9110;Paseo de Alfonso XII;lugares;45;Paradas del bus turístico;;;;;;;;4.223.391.930.556.610;-8.719.024.658.203.120;http://www.turismodevigo.org/sites/turismodevigo/files/16_paseo_de_alfonso_xii_-_olivo.mp3;es-ES
9109;Plaza de la Princesa;lugares;45;Paradas del bus turístico;;;;;;;;4.223.391.930.556.610;-8.719.024.658.203.120;http://www.turismodevigo.org/sites/turismodevigo/files/15_plaza_de_la_princesa.mp3;es-ES
9108;Edificios modernistas;lugares;45;Paradas del bus turístico;;;;;;;;42.237.998;-872.475.099.999.997;http://www.turismodevigo.org/sites/turismodevigo/files/14_edificios_modernistas_puerta_del_sol.mp3;es-ES
9106;Teatro García Barbón;lugares;45;Paradas del bus turístico;;;;;;"<p><span style=""color: rgb(0, 0, 0)";;;;;
9105;Casa das Artes;lugares;45;Paradas del bus turístico;;;;;;;;422.377.367;-8.722.766.500.000.030;http://www.turismodevigo.org/sites/turismodevigo/files/11_casa_das_artes.mp3;es-ES
9104;Casa Bárcenas;lugares;45;Paradas del bus turístico;;;;;;;;4.223.772.109.999.990;-8.722.111.700.000.020;http://www.turismodevigo.org/sites/turismodevigo/files/10_casa_barcena.mp3;es-ES
9103;Cruce de los cuatro bancos;lugares;45;Paradas del bus turístico;;;;;;;;422.376.048;-872.022.179.999.999;http://www.turismodevigo.org/sites/turismodevigo/files/9_cruce_bancos.mp3;es-ES
9102;Escuela de Artes y Oficios;lugares;45;Paradas del bus turístico;;;;;;;http://www.turismodevigo.org/sites/turismodevigo/files/lug087_0.jpg;4.223.753.380.000.000;-8.719.366.300.000.040;http://www.turismodevigo.org/sites/turismodevigo/files/8_escuela_de_artes_y_oficios.mp3;es-ES
9101;Casas de Oya;lugares;45;Paradas del bus turístico;;;;;;;;422.372.378;-8.718.550.100.000.010;http://www.turismodevigo.org/sites/turismodevigo/files/7_casas_de_oya.mp3;es-ES
9100;Santiago de Vigo;lugares;45;Paradas del bus turístico;;;;;;;;422.368.967;-8.717.939.699.999.980;http://www.turismodevigo.org/sites/turismodevigo/files/6_santiago_de_vigo.mp3;es-ES
9099;García Barbón y Policarpo Sanz;lugares;45;Paradas del bus turístico;;;;;;;;422.370.554;-8.716.263.900.000.050;http://www.turismodevigo.org/sites/turismodevigo/files/5_garcia_barbon_y_policarpo_sanz.mp3;es-ES
9098;Rosalía de Castro;lugares;45;Paradas del bus turístico;;;;;;;;422.380.752;-8.716.414.399.999.960;http://www.turismodevigo.org/sites/turismodevigo/files/4_rosalia.mp3;es-ES
9097;Cultura y Teatro;lugares;45;Paradas del bus turístico;;;;;;;;4.223.822.800.000.000;-8.723.897.399.999.940;http://www.turismodevigo.org/sites/turismodevigo/files/3_cultura_y_teatro.mp3;es-ES
9217;Vistas del Monte Alba;lugares;45;Paradas del bus turístico;;;;;;;;42.227.125;-8.720.974.800.000.020;http://www.turismodevigo.org/sites/turismodevigo/files/26_monte_alba_-_rutas_senderismo.mp3;es-ES
9218;Gran Vía;lugares;45;Paradas del bus turístico;;;;;;;;422.250.602;-8.722.537.099.999.950;http://www.turismodevigo.org/sites/turismodevigo/files/27_gran_via.mp3;es-ES
9219;Instituto Santa Irene;lugares;45;Paradas del bus turístico;;;;;;;;422.208.276;-873.102.510.000.001;http://www.turismodevigo.org/sites/turismodevigo/files/28_instituto_santa_irene.mp3;es-ES
9220;Plaza de América;lugares;45;Paradas del bus turístico;;;;;;;;422.207.087;-8.732.154.499.999.970;http://www.turismodevigo.org/sites/turismodevigo/files/29_plaza_de_america.mp3;es-ES
9222;Parque de Castrelos;lugares;45;Paradas del bus turístico;;;;;;;;4.223.391.930.556.610;-8.719.024.658.203.120;http://www.turismodevigo.org/sites/turismodevigo/files/31_parque_de_castrelos_-_historia.mp3;es-ES
9221;Avenida Castrelos;lugares;45;Paradas del bus turístico;;;;;;;;422.193.546;-8.732.708.099.999.960;http://www.turismodevigo.org/sites/turismodevigo/files/30_avenida_de_castrelos_-_imd_-_museo_liste.mp3;es-ES
9223;Auditorio Castrelos;lugares;45;Paradas del bus turístico;;;;;;;;422.131.202;-872.885.640.000.004;http://www.turismodevigo.org/sites/turismodevigo/files/32_auditorio_castrelos.mp3;es-ES
9224;Salones del Pazo;lugares;45;Paradas del bus turístico;;;;;;;;422.139.533;-8.727.698.099.999.990;http://www.turismodevigo.org/sites/turismodevigo/files/33_salones_del_pazo_-_jardines.mp3;es-ES
9225;Zona Balaídos;lugares;45;Paradas del bus turístico;;;;;;;;422.117.408;-8.732.736.199.999.970;http://www.turismodevigo.org/sites/turismodevigo/files/35_zona_balaidos.mp3;es-ES
9226;Estadio de Balaídos y Factoría PSA;lugares;45;Paradas del bus turístico;;;;;;;;422.113.093;-8.736.605.599.999.960;http://www.turismodevigo.org/sites/turismodevigo/files/36_estadio_de_balaidos_-_factoria_psa.mp3;es-ES
9227;Expansion Vigo;lugares;45;Paradas del bus turístico;;;;;;;;422.149.807;-8.742.613.699.999.990;http://www.turismodevigo.org/sites/turismodevigo/files/37_expansion_vigo.mp3;es-ES
9228;Coia;lugares;45;Paradas del bus turístico;;;;;;;;422.182.363;-874.504.980.000.006;http://www.turismodevigo.org/sites/turismodevigo/files/38_coia.mp3;es-ES
9229;Playas;lugares;45;Paradas del bus turístico;;;;;;;;422.154.494;-8.760.968.700.000.030;http://www.turismodevigo.org/sites/turismodevigo/files/40_direccion_playas.mp3;es-ES
9230;Clima;lugares;45;Paradas del bus turístico;;;;;;;;422.128.976;-8.765.058.400.000.040;http://www.turismodevigo.org/sites/turismodevigo/files/41_clima.mp3;es-ES
