DENOMINACIÓN;ENDEREZO;CÓDIGO POSTAL;LOCALIDADE;PROVINCIA;TELÉFONO;FAX;EMAIL;WEB;XESTIÓN AUTONÓMICA;LIGAZÓN GOOGLE MAPS;COORDENADAS
Museo Etnográfico da Capela;O Pazo, s/n;15613;A Capela;A Coruña;981459380;;info@museodacapela.org;http://www.museodacapela.org ;Non;https://maps.google.es/maps?q=43.426549,-8.064557&hl=es&sll=43.426861,-8.064544&sspn=0.004371,0.010568&t=m&z=16;43.426549,-8.064557
Casa das Ciencias;Parque de Santa Margarida, s/n;15005;A Coruña;A Coruña;981189846;981189847;info@casaciencias.org ;https://www.coruna.gal/mc2/gl/casa-das-ciencias;Non;https://maps.google.es/maps?q=43.362056,+-8.412417&hl=es&sll=42.745893,-8.655896&sspn=0.00884,0.021136&t=m&z=16&iwloc=A;43.362056, -8.412417
Casa Museo Emilia Pardo Bazán;Rúa Tabernas, 11;15001;A Coruña;A Coruña;981207308;981216467;casamuseoepb@academia.gal;http://www.casamuseoemiliapardobazan.org;Non;https://maps.google.es/maps?q=43.369472,+-8.394389&hl=es&sll=-8.394389,43.369472&sspn=6.094543,10.821533&t=m&z=16;43.369472, -8.394389
Colección de Reloxos;Casa do Concello. Praza de María Pita, 1;15001;A Coruña;A Coruña;981221406;;;https://www.coruna.gal/cultura;Non;https://maps.google.es/maps?q=43.371444,+-8.395805&hl=es&sll=42.870888,-8.546722&sspn=0.008822,0.021136&t=m&z=16;43.371444, -8.395805
Domus-Casa do Home;Rúa Ángel Rebollo, 91;15002;A Coruña;A Coruña;981217000;981277777;domus@casaciencias.org ;https://www.coruna.gal/mc2/gl/domus;Non;https://maps.google.es/maps?q=43.377694,+-8.406583&hl=es&sll=42.573916,-9.005583&sspn=0.008865,0.021136&t=m&z=16;43.377694, -8.406583
Museo Arqueolóxico e Histórico da Coruña;Castelo de Santo Antón;15001;A Coruña;A Coruña;981189850;981189851;museo.arqueoloxico@coruna.es ;https://www.coruna.gal/cultura;Non;https://maps.google.es/maps?q=43.365806,+-8.388277&hl=es&sll=43.377694,-8.406583&sspn=0.00875,0.021136&t=m&z=16;43.365806, -8.388277
Museo de Arte Sacra de Santa María do Campo;Rúa Porta de Aires, 23;15001;A Coruña;A Coruña;981203186;981203186;musacro@colegiata.jazztel.es;;Non;https://maps.google.es/maps?q=43.370959,-8.392656&hl=en&ll=43.371006,-8.392707&spn=0.000521,0.001321&num=1&t=h&z=20;43.370959,-8.392656
Museo de Belas Artes;Rúa Zalaeta s/n;15002;A Coruña;A Coruña;881881700;881881701;mu.belas.artes.coruna@xunta.gal;http://museobelasartescoruna.xunta.gal;Si;https://www.google.es/maps?q=43.37284,-8.399971&hl=gl&sll=42.882114,-8.542819&sspn=0.007068,0.009645&t=h&z=17;43.37284,-8.399971
Museo Militar da Coruña;Praza de Carlos I, s/n;15001;A Coruña;A Coruña;981205300 / 981206791;981206791;mhmilcor@et.mde.es;https://www.defensa.gob.es/portaldecultura/;Non;https://maps.google.es/maps?q=43.368522,+-8.389011&hl=en&ll=43.368522,-8.389011&spn=0.001041,0.002642&sll=42.877725,-8.544831&sspn=0.002099,0.005284&t=h&z=19;43.368522, -8.389011
Museo Nacional de Ciencia e Tecnoloxía (Muncyt);Praza do Museo Nacional, 1;15011;A Coruña;A Coruña;900100134;;infomuseo@muncyt.es;;Non;https://www.google.com/maps/place/Museo+Nacional+de+Ciencia+e+Tecnolox%C3%ADa/@43.3732076,-8.4203722,15z/data=!4m5!3m4!1s0x0:0x16ce6a42c9ebb63c!8m2!3d43.3732076!4d-8.4203722;43.3732076,-8.4203722
Casa Museo Valle Inclán;Torre Bermúdez, s/n;15740;A Pobra do Caramiñal;A Coruña;981831662;;museo.valleinclan@apobra.gal;http://www.museovalleinclan.gal;Non;https://maps.google.es/maps?q=42.562889,+-8.827499&hl=es&sll=42.738416,-8.651861&sspn=0.008841,0.021136&t=m&z=16;42.603308,-8.937512
Museo das Mariñas;Rúa Emilio Romay, 1;15300;Betanzos;A Coruña;981771946 / 981 773693;981771946;museomarinas@gmail.com;https://betanzos.es/;Non;https://maps.google.es/maps?q=43.278666,+-8.210139&hl=en&ll=43.278666,-8.21014&spn=0.002086,0.005284&sll=42.915277,-8.016723&sspn=0.001049,0.002642&t=h&z=18;43.278666, -8.210139
Centro Arqueolóxico do Barbanza;Castro de Neixón. Nine, s/n. Cespón;15991;Boiro;A Coruña;981843810;981843823;info@centroarqueoloxicodobarbanza.org;http://www.centroarqueoloxicodobarbanza.org;Non;https://maps.google.es/maps?q=42.666415,-8.843448&ll=42.666494,-8.843597&spn=0.002379,0.005284&num=1&t=h&z=18;42.666415,-8.843448
