id;name;Average_sentiment;Google rating;Level of popularity;Increase of popularity;Cat_detailed;address;zipcode;lat;lng;area;other_city
1;Teatro Flamenco Madrid;history_freak;;;;Teatros;del Pez, 10;28013;4,04231E+13;-3,70446E+12;Madrid;
2;Urban Safari;adventurous;;;;Experiencias;de las Delicias, 9;28045;4,04043E+13;-3,69464E+12;Madrid;
3;Museo Gran Via 15;artsy;;;;Museos;Gran Vía, 15;28013;4,04198E+13;-3,70022E+12;Madrid;
4;Parque Princesa Leonor;relax;;;;Parques;de Juan Antonio Samaranch;28055;4,04834E+13;-3,61791E+12;Madrid;
5;Parque Juan Pablo II;relax;;;;Parques;de Machupichu, 1;28043;4,04555E+13;-3,62356E+12;Madrid;
6;Nomad Museo Inmersivo;artsy;;;;Museos;Gran Vía, 78;28013;4,04235E+13;-3,70966E+12;Madrid;
7;Otros espacios Recurso turistico (Año Nuevo Chino);history_freak;;;;Museos;-;28013;4,03824E+13;-3,71074E+12;Madrid;
8;El Abrazo;history_freak;;;;Escultura;de Antn Martín;28012;4,04125E+13;-3,69945E+12;Madrid;
9;Capilla de la Cuadra de San Isidro;history_freak;;;;Religioso;del Pretil de Santisteban, 3;28005;4,04128E+13;-3,71E+12;Madrid;
10;El Bosque Encantado;curious;;;;Parques;de Marañones, 217;28680;4,03478E+13;-4,4038E+12;Madrid;San Martín de Valdeiglesias
11;Transparencias;artsy;;;;Escultura;de Felipe II;28009;4,04245E+13;-3,67558E+12;Madrid;Madrid
12;Madrid Private Tour;history_freak;;;;Experiencias;--;28013;4,0417E+13;-3,70345E+12;Madrid;Madrid
13;Escuela de cocina Conversa;history_freak;;;;Comida;de Carabanchel Alto, 62;28044;4,03666E+13;-3,75958E+12;Madrid;Madrid
14;Monumento en memoria de los madrileños deportados a Mauthausen;history_freak;;;;Experiencias;del Rollo;28005;4,04148E+13;-3,71096E+12;Madrid;Madrid
15;Hyper House;artsy;;;;Experiencias;Ramn Sainz, 22;28025;4,03875E+13;-3,73778E+12;Madrid;Madrid
16;El perro Paco;history_freak;;;;Escultura;de Huertas, 71;28014;4,04132E+13;-3,69532E+12;Madrid;Madrid
17;ABC ARCADE 2.0;curious;;;;Otros;de Serrano, 61;28006;4,04319E+13;-3,68744E+12;Madrid;Madrid
18;Archivo Arkhe;artsy;;;;Centro cultural;del Doctor Fourquet, 18;28012;4,04076E+13;-3,69747E+12;Madrid;Madrid
19;Opera Gallery Madrid;artsy;;;;Galerías de arte;de Serrano, 56;28004;4,04283E+13;-3,68709E+12;Madrid;Madrid
20;Madrid In Game. Campus del Videojuego;curious;;;;Experiencias;Principal, 3;28011;4,04128E+13;-3,7403E+12;Madrid;Madrid
21;Centro de Interpretacion del Paisaje de la Luz;artsy;;;;Centro cultural;de Cibeles, 1;28014;4,04189E+13;-3,69215E+12;Madrid;Madrid
22;Escuela de Arte La Palma;artsy;;;;Museos;de la Palma, 46;28004;4,04266E+13;-3,70586E+12;Madrid;Madrid
23;WilkoArt Gallery;artsy;;;;Museos;del Doctor Piga, 11;28012;4,04084E+13;-3,69815E+12;Madrid;Madrid
24;UMusic Hotel Teatro Albeniz;artsy;;;;Experiencias;de la Paz, 11;28012;4,04153E+13;-3,7041E+12;Madrid;Madrid
25;Casa de Velazquez;history_freak;;;;Punto de interés;de Paul Guinard, 3;28040;4,04414E+13;-3,73048E+12;Madrid;Madrid
26;Mementorium;curious;;;;Experiencias;de Embajadores, 35;28012;4,04084E+13;-3,70452E+12;Madrid;Madrid
27;Parque de la Gavia;relax;;;;Parques;del Mayorazgo, 26;28051;4,03674E+13;-3,63082E+12;Madrid;Madrid
28;Galeria Hilario Galguera;artsy;;;;Galerías de arte;del Doctor Fourquet, 12;28012;4,04083E+13;-3,69617E+12;Madrid;Madrid
29;Plaza de Raffaella Carra;history_freak;;;;Edificio;de Fuencarral, 43 - 45;28004;4,0423E+13;-3,70106E+12;Madrid;Madrid
30;Carlos Sainz Karting Madrid;adventurous;;;;Parques;de Sepúlveda, 3;28011;4,04066E+13;-3,72709E+12;Madrid;Madrid
31;Madrid con Cris;history_freak;;;;Experiencias;--;28004;4,04167E+13;-3,70319E+12;Madrid;Madrid
32;Espacio Cultural Serreria Belga;history_freak;;;;Galerías de arte;de la Alameda, 15;28014;4,04105E+13;-3,69358E+12;Madrid;Madrid
33;On Art Space;artsy;;;;Galerías de arte;de Santa María, 37;28014;4,04128E+13;-3,69615E+12;Madrid;Madrid
34;Factory of Dreams;artsy;;;;Galerías de arte;de Carmen Bruguera, 8;28026;4,03891E+13;-3,70205E+12;Madrid;Madrid
