id;name;Latitud;Longitud;Dirección
1;Teatro Flamenco Madrid;404.232.579;-3.704.502;C. del Pez, 10, 28004 Madrid, Spain
2;Urban Safari;490.274.395;-1.227.357.516;1395 176 St, Surrey, BC V3Z 9S7, Canada
3;Museo Gran Via 15;404.197.502;-37.002.221;C/ Gran Vía, 15, Local, 28013 Madrid, Spain
4;Parque Princesa Leonor;404.887.369;-36.183.013;Agrícola Princesa Leonor Park, 28055 Valdefuentes, Madrid, Spain
5;Parque Juan Pablo II;-33.400.335;-705.678.862;Juan Pablo II Park - Cerro Colorado 6130, Las Condes, Región Metropolitana, Chile
6;Nomad Museo Inmersivo;404.232.977;-37.102.486;C/ Gran Vía, 78, Local Museo, 28013 Madrid, Spain
7;Otros espacios Recurso turistico (Año Nuevo Chino);3.586.166;104.195.397;China
8;El Abrazo;N/A;N/A;N/A
9;Capilla de la Cuadra de San Isidro;404.127.768;-37.099.991;C. del Pretil de Santisteban, 3, 28005 Madrid, Spain
10;El Bosque Encantado;403.477.646;-4.403.760.699.999.990;El Bosque Encantado, Camino de Marañones, 217, 28680 San Martín de Valdeiglesias, Madrid, Spain
11;Transparencias;N/A;N/A;N/A
12;Madrid Private Tour;404.167.754;-37.037.902;Madrid, Spain
13;Escuela de cocina Conversa;403.700.398;-3.753.329;Av. de Carabanchel Alto, 62, 28044 Madrid, Spain
14;Monumento en memoria de los madrileños deportados a Mauthausen;404.167.754;-37.037.902;Madrid, Spain
15;Hyper House;378.620.625;-1.222.650.155;2606 Fulton St, Berkeley, CA 94704, USA
16;El perro Paco;N/A;N/A;N/A
17;ABC ARCADE 2.0;N/A;N/A;N/A
18;Archivo Arkhe;404.075.801;-36.974.738;Calle del Dr. Fourquet, 18, planta baja, 28012 Madrid, Spain
19;Opera Gallery Madrid;404.283.116;-36.870.916;C. de Serrano, 56, 28001 Madrid, Spain
20;Madrid In Game. Campus del Videojuego;404.128.562;-37.401.532;Avenida Principal, 3, 28011 Madrid, Spain
21;Centro de Interpretacion del Paisaje de la Luz;404.189.339;-36.921.521;Plaza Cibeles, 1, 28014 Madrid, Spain
22;Escuela de Arte La Palma;4.042.660.190.000.000;-37.058.638;C. de la Palma, 46, 28004 Madrid, Spain
23;WilkoArt Gallery;4.040.844.990.000.000;-36.981.451;Calle del Dr. Piga, 11, 28012 Madrid, Spain
24;UMusic Hotel Teatro Albeniz;404.153.449;-37.041.017;C. de la Paz, 11, 28012 Madrid, Spain
25;Casa de Velazquez;404.413.522;-37.303.815;C. Paul Guinard, 3, 28040 Madrid, Spain
26;Mementorium;404.083.182;-3.704.371;C. de Embajadores, 35, 28012 Madrid, Spain
27;Parque de la Gavia;4.036.693.959.999.990;-3.629.336.799.999.990;Parque de La Gavia, Av. del Mayorazgo, 26, 28051 Madrid, Spain
28;Galeria Hilario Galguera;194.387.091;-991.616.031;C. Francisco Pimentel 3, San Rafael, Cuauhtémoc, 06470 Ciudad de México, CDMX, Mexico
29;Plaza de Raffaella Carra;40.423.107;-37.009.308;Calle de Fuencarral, 45, 28004 Madrid, Spain
30;Carlos Sainz Karting Madrid;404.065.776;-37.270.776;C. de Sepúlveda, 3, 28011 Madrid, Spain
31;Madrid con Cris;404.167.754;-37.037.902;Madrid, Spain
32;Espacio Cultural Serreria Belga;404.105.168;-3.693.575.899.999.990;C. de la Alameda, 15, 28014 Madrid, Spain
33;On Art Space;404.127.581;-36.961.463;Calle de Sta. María, 37, 28014 Madrid, Spain
34;Factory of Dreams;326.427.772;-1.170.801.874;261 3rd Ave, Chula Vista, CA 91910, USA
35;Corral Cervantes;403.939.384;-36.996.921;Parque Madrid Río. Paseo de la Chopera s/n (frente al, Palacio de Cristal, 28045 Madrid, Spain
36;La Gran;N/A;N/A;N/A
37;Mala Fama Estudios;403.915.536;-37.325.668;Av. de Pedro Diez, 25, 28019 Madrid, Spain
38;Nave Oporto;403.914.932;-37.326.398;Av. de Pedro Diez, 25, Bajo izda y 2° dcha, 28019 Madrid, Spain
39;Corner Gallery & Studio;40.392.251;-37.347.278;C. Cañete, 17, 28019 Madrid, Spain
40;Mad is Mad;404.236.947;-3.697.788.899.999.990;C. de Pelayo, 48, 28004 Madrid, Spain
41;Bosque Metropolitano;40.445.624;-37.802.545;Bosque Metropolitano, Av. del Talgo, 53, 28023 Madrid, Spain
42;MIL Madrid - Madrid Innovation Lab;404.366.276;-37.048.331;de la comunidad, C. de Bravo Murillo, 39, Local interior, 28015 Madrid, Spain
43;El Pasillo Verde Teatro;404.008.757;-37.040.859;P.º de la Esperanza, 23-25, 28005 Madrid, Spain
44;La Sala;N/A;N/A;N/A
45;Museo de la Hermandad del Refugio;N/A;N/A;N/A
46;Galeria F&deO;404.237.454;-36.859.168;C. de Jorge Juan, 14, local 3, 28001 Madrid, Spain
47;Edificio Bosque de Atocha;404.023.449;-36.881.569;Atocha, Madrid, Spain
48;Monumento en Memoria de las Victimas del accidente del Yakolev-42;N/A;N/A;N/A
49;Emotion!;N/A;N/A;N/A
50;Espinasse31 Contemporary Art Gallery;454.955.514;91.432.181;Viale Carlo Espinasse, 31, 20156 Milano MI, Italy
51;"Homenaje a ""La Cabina"" de Antonio Mercero";404.326.453;-37.070.727;28015 Madrid, Spain
52;MAD (Madrid Artes Digitales) Centro de Experiencias Inmersivas;403.917.206;-36.989.025;Matadero Madrid, Pl. de Legazpi, 8, Nave 16, 28045 Madrid, Spain
53;La Nave Sanchez-biria;N/A;N/A;N/A
54;Veta Galeria;403.899.967;-37.185.609;C. de Antoñita Jiménez, 31, 43, 28019 Madrid, Spain
55;Colegio Aleman;N/A;N/A;N/A
