id,name,Average_sentiment,Google rating,Level of popularity,Increase of popularity,Cat_detailed,address,zipcode,lat,lng,area,other_city,age,way of travel,Latitud_google,Longitud_google,dirección_google,Latitud,Longitud,Dirección,Rating,Precio
3025,Bilbao,history_freak,,,,archaeological_rest,,,43.25696104658017,-2.923446364418055,Euskadi,Bilbao,young,alone,432630126.0,-29349852.0,"Bilbao, Biscay, Spain",43.2630126,-2.9349852,"Bilbao, Vizcaya, España",N/A,N/A
3026,Gipuzkoa,history_freak,,,,town,,,,,Euskadi,,adult,in groups,430756299.0,-22236667.0,"Gipuzkoa, Spain",43.0756299,-2.2236667,"Gipuzkoa, España",N/A,N/A
3027,Astigarraga,relax,,,,town,,,43.28066802127562,-1.947645730688464,Euskadi,Astigarraga,old,alone,43280929.0,-19484098.0,"20115 Astigarraga, Gipuzkoa, Spain",43.280929,-1.9484098,"20115 Astigarraga, Gipuzkoa, España",N/A,N/A
3028,Salvatierra/Agurain,relax,,,,town,,,,,Euskadi,Arrizala; Agurain/Salvatierra; Egileor; Alangua; Opakua,young,in family,428493348.0,-2388785.0,"01200 Agurain, Ãlava, Spain",42.8493348,-2.388785,"01200 Salvatierra, Álava, España",N/A,N/A
3029,Barakaldo,relax,,,,town,,,,,Euskadi,San Vicente de Barakaldo; Errekatxo/El Regato,young,alone,432969875.0,-29862029.0,"Barakaldo, Biscay, Spain",43.2969875,-2.9862029,"Baracaldo, Vizcaya, España",N/A,N/A
3030,Santurtzi,curious,,,,town,,,,,Euskadi,El Villar | Diseminado; Balparda | Diseminado; Santurtzi,adult,alone,43328128.0,-30336586.0,"Santurtzi, Biscay, Spain",43.328128,-3.0336586,"Santurce, Vizcaya, España",N/A,N/A
3031,Ayala/Aiara,relax,,,,town,,,,,Euskadi,Izoria; Erbi | Diseminado; Luxo/Lujo | Diseminado; Luiaondo; Llanteno; Madaria | Diseminado; Maroño | Diseminado; Menagarai; Menoio; Murga; Ozeka | Diseminado; Olabezar | Diseminado; Quejana/Kexaa | Diseminado; Arespalditza/Respaldiza; Retes de Llanteno;,young,in couple,430753042.0,-30776568.0,"Ayala/Aiara, Ãlava, Spain",43.0753042,-3.0776568,"Ayala, Álava, España",N/A,N/A
3032,Elvillar/Bilar,curious,,,,town,,,42.570497,-2.544915,Euskadi,Elvillar/Bilar,young,in groups,425706068.0,-25433183.0,"01309 Bilar, Ãlava, Spain",42.5706068,-2.5433183,"01309 Elvillar, Álava, España",N/A,N/A
3033,Abadiño,relax,,,,town,,,,,Euskadi,Zelaieta | Abadiño-Zelaieta; Gaztelua | Diseminado; Gerediaga | Diseminado; Traña-Matiena; Mendiola | Diseminado; Muntsaratz; Urkiola | Diseminado,adult,alone,431510298.0,-26112624.0,"48220 AbadiÃ±o, Biscay, Spain",43.1510298,-2.6112624,"48220 Abadiano, Vizcaya, España",N/A,N/A
3034,Alegría-Dulantzi,relax,,,,town,,,,,Euskadi,Egileta; Alegría-Dulantzi,adult,in couple,428410353.0,-25126835.0,"01240 AlegrÃ­a-Dulantzi, Ãlava, Spain",42.8410353,-2.5126835,"01240 Alegría, Álava, España",N/A,N/A
3035,Amurrio,relax,,,,town,,,,,Euskadi,Aloria; Amurrio; Artomaña; Baranbio; Tertanga; Larrinbe | Diseminado; Lekamaña; Lezama | Diseminado; Saratxo | Diseminado; Delika,old,in couple,430518654.0,-30013109.0,"01470 Amurrio, Ãlava, Spain",43.0518654,-3.0013109,"01470 Amurrio, Álava, España",N/A,N/A
3036,Añana,relax,,,,town,,,,,Euskadi,Salinas de Añana/Gesaltza Añana; Atiega/Atiaga | Diseminado,young,alone,428151891.0,-29875565.0,"AÃ±ana, Ãlava, Spain",42.8151891,-2.9875565,"Añana, Álava, España",N/A,N/A
3037,Aramaio,adventurous,,,,town,,,,,Euskadi,Arexola | Diseminado; Azkoaga | Diseminado; Barajuen | Diseminado; Etxaguen | Diseminado; Uribarri | Diseminado; Ibarra; Oleta; Untzilla | Diseminado; Gantzaga | Diseminado,old,alone,430521188.0,-2564711.0,"01160 Aramaio, Ãlava, Spain",43.0521188,-2.564711,"01160 Ibarra, Álava, España",N/A,N/A
3038,Vitoria-Gasteiz,relax,,,,town,,,,,Euskadi,Abetxuko; Zumeltzu; Ehari/Ali; Amarita; Andollu; Antezana/Andetxa | Andetxa/Antezana; Arangiz; Arkauti/Arcaute; Arkaia; Aretxabaleta; Argandoña; Ariñiz/Aríñez; Armentia; Arriaga; Artatza Foronda; Askartza; Asteguieta; Berrostegieta; Betoño; Castillo/Gazte,young,in couple,428531869.0,-26732421.0,"Vitoria-Gasteiz, Ãlava, Spain",42.8531869,-2.6732421,"Vitoria-Gasteiz, Álava, España",N/A,N/A
