;name;average_sentiment;cat_detailed;cat_sites_reduced_more;average_age;average_way_travel;latitud;longitud;address;area;rating;user_age_encoded;way_travel_encoded;sentiment_encoded;destination_encoded;cat_sites_reduced_more_encoded
0;Teatro Flamenco Madrid;history_freak;theater;experiences, cultural centers, theaters and music;old;in family;40,4232579;-3,704502;C. del Pez, 10, 28004 Madrid, España;Madrid;4,7;2;3;4;1;4
1;Urban Safari;adventurous;experience;experiences, cultural centers, theaters and music;old;in groups;40,4043001;-3,6946702;Calle de las Delicias, 9, 28045 Madrid, España;Madrid;4,9;2;2;1;1;4
2;Museo Gran Via 15;artsy;museum;historic building, museums and archaeological rests;young;alone;40,4197502;-3,7002221;C/ Gran Vía, 15, Local, 28013 Madrid, España;Madrid;4,4;0;0;0;1;1
3;Parque Princesa Leonor;relax;park;town, parks or lookouts;adult;alone;40,4881078;-3,6194053;F9RJ+4F, 28055 Madrid, España;Madrid;4,4;1;0;2;1;2
4;Parque Juan Pablo II;relax;park;town, parks or lookouts;young;alone;40,4547766;-3,6268508;Av. de Machupichu, 1, 28043 Madrid, España;Madrid;4,5;0;0;2;1;2
5;Nomad Museo Inmersivo;artsy;museum;historic building, museums and archaeological rests;young;in groups;40,4232977;-3,7102486;C/ Gran Vía, 78, Local Museo, 28013 Madrid, España;Madrid;3,3;0;2;0;1;1
6;El Abrazo;history_freak;sculpture;points of interest, like squares and sculptures;young;in family;40,4251981;-3,6880535;28001 Madrid, España;Madrid;5;0;3;4;1;3
7;Capilla de la Cuadra de San Isidro;history_freak;religious;religious;adult;in couple;40,4127758;-3,7100024;C. del Pretil de Santisteban, 3, 28005 Madrid, España;Madrid;4,6;1;1;4;1;5
8;El Bosque Encantado;curious;park;town, parks or lookouts;young;in couple;40,3477646;-4,4037607;Camino de Marañones, 217, 28680 San Martín de Valdeiglesias, Madrid, España;Madrid;3,9;0;1;3;1;2
9;Transparencias;artsy;sculpture;points of interest, like squares and sculptures;young;alone;40,4440461;-3,6781588;C. del Príncipe de Vergara, 136, 28002 Madrid, España;Madrid;0;0;0;0;1;3
10;Madrid Private Tour;history_freak;experience;experiences, cultural centers, theaters and music;adult;in couple;40,4165329;-3,7104442;Calle de Santiago, 18, 28013 Madrid, España;Madrid;4,8;1;1;4;1;4
11;Escuela de cocina Conversa;history_freak;food;food, music, seaside, sport and others;young;in family;40,3700398;-3,753329;Av. de Carabanchel Alto, 62, 28044 Madrid, España;Madrid;4,7;0;3;4;1;8
12;Monumento en memoria de los madrileños deportados a Mauthausen;history_freak;experience;experiences, cultural centers, theaters and music;adult;in family;40,4148244;-3,7109589;C. del Rollo, 28005 Madrid, España;Madrid;4,9;1;3;4;1;4
13;Hyper House;artsy;experience;experiences, cultural centers, theaters and music;old;in family;40,3874845;-3,737751;C. Ramón Sainz, 22, local, 28025 Madrid, España;Madrid;5;2;3;0;1;4
14;El perro Paco;history_freak;sculpture;points of interest, like squares and sculptures;young;in family;40,4137643;-3,6971221;C. de Lope de Vega, 23, 28014 Madrid, España;Madrid;4,7;0;3;4;1;3
15;ABC ARCADE 2.0;curious;other;food, music, seaside, sport and others;young;in family;40,4319053;-3,6874425;C. de Serrano, 61, 28006 Madrid, España;Madrid;4,4;0;3;3;1;8
16;Archivo Arkhe;artsy;cultural_center;experiences, cultural centers, theaters and music;old;in groups;40,4075801;-3,6974738;Calle del Dr. Fourquet, 18, planta baja, 28012 Madrid, España;Madrid;5;2;2;0;1;4
17;Opera Gallery Madrid;artsy;art_gallery;contemporary buildings and art galleries;old;alone;40,4283116;-3,6870916;C. de Serrano, 56, 28001 Madrid, España;Madrid;4,7;2;0;0;1;6
18;Madrid In Game. Campus del Videojuego;curious;experience;experiences, cultural centers, theaters and music;young;in couple;40,4128524;-3,7402195;Avenida Principal, 3, 28011 Madrid, España;Madrid;4,8;0;1;3;1;4
19;Centro de Interpretacion del Paisaje de la Luz;artsy;cultural_center;experiences, cultural centers, theaters and music;young;in family;40,4189339;-3,6921521;Plaza Cibeles, 1, 28014 Madrid, España;Madrid;4,7;0;3;0;1;4
20;Escuela de Arte La Palma;artsy;museum;historic building, museums and archaeological rests;young;alone;40,4265718;-3,7058684;C. de la Palma, 46, 28004 Madrid, España;Madrid;4,5;0;0;0;1;1
21;WilkoArt Gallery;artsy;museum;historic building, museums and archaeological rests;young;in couple;40,4084499;-3,6981451;Calle del Dr. Piga, 11, 28012 Madrid, España;Madrid;4,8;0;1;0;1;1
22;UMusic Hotel Teatro Albeniz;artsy;experience;experiences, cultural centers, theaters and music;adult;alone;40,4153449;-3,7041017;C. de la Paz, 11, 28012 Madrid, España;Madrid;4,6;1;0;0;1;4
23;Casa de Velazquez;history_freak;point_of_interest;points of interest, like squares and sculptures;old;in family;40,4413492;-3,7303718;C. Paul Guinard, 3, 28040 Madrid, España;Madrid;4,5;2;3;4;1;3
24;Mementorium;curious;experience;experiences, cultural centers, theaters and music;old;in family;40,4083182;-3,704371;C. de Embajadores, 35, 28012 Madrid, España;Madrid;5;2;3;3;1;4
25;Parque de la Gavia;relax;park;town, parks or lookouts;adult;in family;40,3669396;-3,6293368;Av. del Mayorazgo, 26, 28051 Madrid, España;Madrid;4,4;1;3;2;1;2
26;Galeria Hilario Galguera;artsy;art_gallery;contemporary buildings and art galleries;adult;in couple;40,4083129;-3,6961721;Calle del Dr. Fourquet, 12, 28012 Madrid, España;Madrid;5;1;1;0;1;6
27;Plaza de Raffaella Carra;history_freak;historic_building;historic building, museums and archaeological rests;young;alone;40,423107;-3,7009308;Calle de Fuencarral, 45, 28004 Madrid, España;Madrid;4,7;0;0;4;1;1
28;Carlos Sainz Karting Madrid;adventurous;park;town, parks or lookouts;old;alone;40,4065776;-3,7270776;C. de Sepúlveda, 3, 28011 Madrid, España;Madrid;4,3;2;0;1;1;2
29;Espacio Cultural Serreria Belga;history_freak;art_gallery;contemporary buildings and art galleries;old;in groups;40,4105171;-3,6936181;C. de la Alameda, 15, 28014 Madrid, España;Madrid;4,3;2;2;4;1;6
30;On Art Space;artsy;art_gallery;contemporary buildings and art galleries;old;alone;40,4127701;-3,6961411;Calle de Sta. María, 37, 28014 Madrid, España;Madrid;5;2;0;0;1;6
31;Factory of Dreams;artsy;art_gallery;contemporary buildings and art galleries;young;in family;40,3890541;-3,7020092;C. de Carmen Bruguera, 8, 28026 Madrid, España;Madrid;4,2;0;3;0;1;6
32;Corral Cervantes;artsy;art_gallery;contemporary buildings and art galleries;young;in family;40,3939384;-3,6996921;Palacio de Cristal, Parque Madrid Río. Paseo de la Chopera s/n (frente al, 28045 Madrid, España;Madrid;4,2;0;3;0;1;6
33;La Gran;artsy;art_gallery;contemporary buildings and art galleries;adult;in couple;40,3908481;-3,7323909;C. Nicolás Morales, 38, Planta 1. 8B, 28019 Madrid, España;Madrid;4,8;1;1;0;1;6
34;Mala Fama Estudios;artsy;art_gallery;contemporary buildings and art galleries;old;in groups;40,3915536;-3,7325668;Av. de Pedro Diez, 25, 28019 Madrid, España;Madrid;4,8;2;2;0;1;6
35;Nave Oporto;artsy;art_gallery;contemporary buildings and art galleries;old;alone;40,3914932;-3,7326398;Av. de Pedro Diez, 25, Bajo izda y 2° dcha, 28019 Madrid, España;Madrid;4,8;2;0;0;1;6
36;Corner Gallery & Studio;relax;art_gallery;contemporary buildings and art galleries;young;in couple;40,392251;-3,7347278;C. Cañete, 17, 28019 Madrid, España;Madrid;5;0;1;2;1;6
37;Mad is Mad;artsy;art_gallery;contemporary buildings and art galleries;young;alone;40,4236941;-3,6977875;C. de Pelayo, 48, 28004 Madrid, España;Madrid;4,7;0;0;0;1;6
38;Bosque Metropolitano;artsy;park;town, parks or lookouts;adult;in groups;40,445624;-3,7802545;Av. del Talgo, 53, 28023 Madrid, España;Madrid;3,7;1;2;0;1;2
39;MIL Madrid - Madrid Innovation Lab;curious;art_gallery;contemporary buildings and art galleries;old;alone;40,4366276;-3,7048331;de la comunidad, C. de Bravo Murillo, 39, Local interior, 28015 Madrid, España;Madrid;5;2;0;3;1;6
40;El Pasillo Verde Teatro;artsy;art_gallery;contemporary buildings and art galleries;old;in family;40,4007621;-3,7040908;P.º de la Esperanza, 23-25, 28005 Madrid, España;Madrid;4,9;2;3;0;1;6
41;La Sala;artsy;art_gallery;contemporary buildings and art galleries;old;in family;40,4031304;-3,6988327;C. de Palos de la Frontera, 3, local 6, 28012 Madrid, España;Madrid;4,7;2;3;0;1;6
42;Museo de la Hermandad del Refugio;artsy;museum;historic building, museums and archaeological rests;old;alone;40,4226706;-3,7034838;Corre. Baja de San Pablo, 16, 28004 Madrid, España;Madrid;2,2;2;0;0;1;1
43;Galeria F&deO;artsy;art_gallery;contemporary buildings and art galleries;young;alone;40,4237454;-3,6859168;C. de Jorge Juan, 14, local 3, 28001 Madrid, España;Madrid;5;0;0;0;1;6
44;Edificio Bosque de Atocha;curious;historic_building;historic building, museums and archaeological rests;adult;in groups;40,3981917;-3,6818509;C/ del Alberche, 6, 28045 Madrid, España;Madrid;4,5;1;2;3;1;1
45;Emotion!;adventurous;experience;experiences, cultural centers, theaters and music;adult;in family;40,4266339;-3,6734701;C. Naciones, 8, 28006 Madrid, España;Madrid;5;1;3;1;1;4
