idpoi;title;layer;type;subcategoria;address;postcode;phone;web;description;image_uri;lat;lon;mp3_uri;lang
8699;Terminal de Citröen;lugares;35;Terminal de carga;Puerto de Bouzas, s/n;36208;;www.vigo.psa-peugeot-citroen.com;Gran superficie logística de la empresa Citröen destinada al almacenamiento y transporte de los modelos de vehículo que la marca fabrica en su factoría de Vigo.;http://www.turismodevigo.org/sites/turismodevigo/files/lug343.jpg;422.283.198.335.914;-876.003.594.255.815;;es-ES
8700;Factoría PSA Peugeot Citröen;lugares;35;Fábrica;Avda. Citroín, 3-5;36210;986215000;www.vigo.psa-peugeot-citroen.com;La planta produce cuatro vehículos distintos para las dos marcas del Grupo, cuenta con una plantilla de 6.500 empleados y sus exportaciones representan el 23,3% de las exportaciones de Galicia.;http://www.turismodevigo.org/sites/turismodevigo/files/lug344.jpg;422.077.097.351.399;-874.131.855.513.648;;es-ES
8701;Lonja de El Berbés;lugares;35;Lonja de altura;Puerto pesquero de Vigo;36202;986821508;www.apvigo.com;Se trata de la lonja e pescado congelado más importante del mundo y la más importante de Europa en lo referente a pescado fresco.;http://www.turismodevigo.org/sites/turismodevigo/files/lug345.jpg;422.370.936.327.125;-873.098.715.156.788;;es-ES
8695;Aeropuerto de Vigo;lugares;35;Aeropuerto;Avda. do Aeroporto s/n;36218;986268200;;Aeropuertode Peinador.;http://www.turismodevigo.org/sites/turismodevigo/files/lug332.jpg;422.251.531.230.541;-86.325.065.972.232;;es-ES
8722;Estación de Autobuses de Vigo;lugares;35;Estación de autobuses;Avenida de Madrid, 57;36204;986373411;www.vigobus.com;Estación de autobuses de Vigo.;http://www.turismodevigo.org/sites/turismodevigo/files/lug366.jpg;422.243.132.602.791;-870.924.641.539.477;;es-ES
8721;Estación de FFCC;lugares;35;Estación de tren;Areal s/n;36201;902432343;www.adif.es/es_ES/infraestructuras/estaciones/22308/informacion_000390.shtml;Estación de ferrocarril de Vigo.;http://www.turismodevigo.org/sites/turismodevigo/files/lug365.jpg;422.391.446.195.105;-871.372.655.426.546;;es-ES
8555;Centro de Recepción de Visitantes - Oficina Municipal de Información Turística de Vigo;lugares;35;Información;Estación Marítima de Ría (interior);36202;986224757;www.turismodevigo@vigo.org;Esta Oficina permanecerá abierta durante todo el año con los siguientes horarios: Horario de verano: (De Abril a Septiembre ): de lunes a domingo: de 9:00 a 21:00 h. Horario de invierno: (De Octubre a Marzo): de lunes a domingo: de 9:00 a 18:00 h;http://www.turismodevigo.org/sites/turismodevigo/files/lug190.jpg;422.414.195.978.855;-872.840.054.853.745;;es-ES
8556;Oficina de Turismo de Vigo (Xunta de Galicia);lugares;35;Información;Cánovas del Castillo, 22;36202;986430577;;Esta Oficina, dependiente de la Xunta de Galicia, permanecerá abierta durante todo el año con los siguientes horarios: Lunes a viernes: de 09:30 a 14:00 y de 16:30 a 18:30 h. Sábados: de 10:00 a 13:30 h.;http://www.turismodevigo.org/sites/turismodevigo/files/lug191.jpg;422.401.179.157.237;-872.616.634.196.882;;es-ES
8557;Oficina Municipal de Turismo de Vigo;lugares;35;Información;Teófilo Llorente, 5;36202;986224757;;Esta Oficina permanecerá abierta durante todo el año con los siguientes horarios: Lunes a viernes: de 8:30 a 19:30 h. Sábados: de 13:00 a 18:00 h.;http://www.turismodevigo.org/sites/turismodevigo/files/lug192.jpg;422.386.738.785.973;-87.283.100.307.374;;es-ES
8558;Punto de Información Turística en Vigo;lugares;35;Información;Praza do Rei, s/n;36202;986810171;;Punto de información turística dentro del propio edificio del ayuntamiento.;http://www.turismodevigo.org/sites/turismodevigo/files/lug193.jpg;422.364.150.396.916;-872.663.877.418.901;;es-ES
8559;Punto de Información Turístico (Padroado Turismo RRBB);lugares;35;Información;Avda. de Peinador;36218;986804100;www.turismodevigo.es;Esta Oficina permanecerá abierta durante todo el año con los siguientes horarios: Lunes a viernes: de 8:30 a 19:30 h. Sábados: de 13:00 a 18:00 h.;http://www.turismodevigo.org/sites/turismodevigo/files/lug194.jpg;422.265.494.681.754;-863.249.208.594.621;;es-ES
8560;Oficina de Turismo de Vigo (Xunta de Galicia);lugares;35;Información;Estación Marítima, s/n;36202;986224787;;Oficina municial de información turística y centro de recepción de visitantes.;http://www.turismodevigo.org/sites/turismodevigo/files/lug195.jpg;422.366.744.994.674;-873.204.001.129.307;;es-ES
8410;Banco de Vigo;lugares;35;Arquitectura civil;Colón, esquina Policarpo Sanz;36202;;;"El edificio fue diseñado or Manuel Gómez Román entre 1919-1923 siguiendo el estilo modernista pero con los matices propios del ""secesionism vienés"".";http://www.turismodevigo.org/sites/turismodevigo/files/lug028.jpg;422.378.485.421.046;-87.205.428.336.653;;es-ES
