idpoi,title,layer,type,subcategoria,address,postcode,phone,web,description,image_uri,lat,lon,mp3_uri,lang
9071,Liceo Marítimo de Bouzas,compras,29,Galería de arte,"Av. Eduardo Cabello, 8",36208,986239955,www.liceobouzas.om,Venta y exposición de obras de arte.,http://www.turismodevigo.org/sites/turismodevigo/files/com041.jpg,42.2268295145224,-8.75200501138469,,es-ES
9070,Javier Teniente Photo Galery,compras,29,Galería de arte,"Abeleira Menéndez, 13",36202,986225380,,Exposicíón y venta de fotografías,http://www.turismodevigo.org/sites/turismodevigo/files/com040.jpg,42.2374078696483,-8.72582320727619,,es-ES
9069,Estación marítima,compras,29,Galería de arte,Estación Marítima de Ría (interior),36202,986220941,,Exposición de obras de arte,http://www.turismodevigo.org/sites/turismodevigo/files/com039.jpg,42.2412675479845,-8.72859361522878,,es-ES
9068,Euro Arte,compras,29,Galería de arte,"C/ Coruña, 32 bajo",36211,986299698,www.euro-arte.es,Euroarte es una tienda dedicada a la venta de obras de arte en general y a la difusión de obras de artistas consagrados y jóvenes.,http://www.turismodevigo.org/sites/turismodevigo/files/com038.jpg,42.2226834590693,-8.73386612399709,,es-ES
9067,DUA2,compras,29,Galería de arte,"Marqués de Valadares, 37",36201,986113233,,Venta y exposición de obras de arte.,http://www.turismodevigo.org/sites/turismodevigo/files/com037.jpg,42.2384510737125,-8.72131781788678,,es-ES
9066,CHROMA,compras,29,Galería de arte,"Florida, 34",36210,986204948,,"Centro de arte, en el que tiene cabida una zona expositiva para muestras temporales y otra como fondo de galería.",http://www.turismodevigo.org/sites/turismodevigo/files/com036.jpg,42.2175323469611,-8.73803218243682,,es-ES
9065,Buró Loft,compras,29,Galería de arte,"Sanjurjo Badía, 27",36207,986261508,,Venta y exposición de mueble y obras de arte.,http://www.turismodevigo.org/sites/turismodevigo/files/com035.jpg,42.2438898536282,-8.70532483185721,,es-ES
9064,Bacelos,compras,29,Galería de arte,"Progreso, 3 Bajo",36202,986224785,,Venta y exposición de obras arte.,http://www.turismodevigo.org/sites/turismodevigo/files/com034.jpg,42.2359777247571,-8.72513944762286,,es-ES
9072,Monte Blanco,compras,29,Galería de arte,"Ronda de Don Bosco, 33",36202,986431122,www.monteblanco.es,Compra- venta de joyas y cuadros. Arte y antigüedades.,http://www.turismodevigo.org/sites/turismodevigo/files/com042.jpg,42.2352630017474,-8.723583587113,,es-ES
9073,PM8,compras,29,Galería de arte,"Pablo Morillo, 8",36201,986434333,www.pm8galeria.com,Exposición y venta de obras de arte,http://www.turismodevigo.org/sites/turismodevigo/files/com043.jpg,42.2401701978317,-8.7218483709101,,es-ES
9076,Termes,compras,29,Galería de arte,"Amor Ruibal, 13",36211,986424015,www.galeriatermes.es,"En la galería se desarrollan actividades como: gabinete docente y la muestra, a través de unos amplios escaparates, durante día y noche, de exposiciones de celebridades gallegas y del resto de la península y del extranjero.",http://www.turismodevigo.org/sites/turismodevigo/files/com046.jpg,42.2266310990354,-8.72787156656484,,es-ES
9075,Sargadelos,compras,29,Galería de arte,"Urzaiz, 17",36201,986220050,www.sargadelos.com/galerias/galeria.php?id=11&lg=cas,Exposición y venta de obras de arte,http://www.turismodevigo.org/sites/turismodevigo/files/com045.jpg,42.2354799440587,-8.7184912775399,,es-ES
9074,Real Club Náutico de Vigo,compras,29,Galería de arte,"Paseo de las Avenidas, s/n",36202,986220050,www.rcnauticovigo.com,Exposición y venta de obras de arte,http://www.turismodevigo.org/sites/turismodevigo/files/com044.jpg,42.2411608314811,-8.72466129089563,,es-ES
9063,Art Next,compras,29,Galería de arte,"Dr. Cadaval, 5",36202,986443111,www.art-next.es/onlinegallery/index.php,"ART next ,está especializada en Pintura de Artistas consagrados gallegos del siglo XX , pintura española de la escuela de París y Escuela de Madrid. También realiza exposiciones antológicas y retrospectivas de Artistas contemporáneos.",http://www.turismodevigo.org/sites/turismodevigo/files/com033.jpg,42.2364999414962,-8.72429542891048,,es-ES
9062,ANDROX,compras,29,Galería de arte,"Vía Norte, 22",36204,986433848,http://galeriadearteandrox.wordpress.com/,Espacio dedicado a la exposición y venta de cuadros,http://www.turismodevigo.org/sites/turismodevigo/files/com032.jpg,42.23400516552,-8.71202761243164,,es-ES
9061,ADHOC,compras,29,Galería de arte,"Joaquín Loriga, 9",36203,986228656,http://www.adhocgaleria.com/,Venta y exposición de obras arte.,http://www.turismodevigo.org/sites/turismodevigo/files/com031.jpg,42.2346295804238,-8.72134833198331,,es-ES
