idpoi;title;layer;type;subcategoria;address;postcode;phone;web;description;image_uri;lat;lon;mp3_uri;lang
10262;Lume de Carozo;restaurantes;13;Restaurante 1 Tenedor;Joaquín Yáñez, 5 - Bajo;36202;986228346;http://www.lumedecarozo.com/;El restaurante fusiona la comida tradicional gallega con la cocina más creativa con el objetivo de sorprender a sus clientes con los más deliciosos platos. Dispone de gran variedad de menús.;http://www.turismodevigo.org/sites/turismodevigo/files/lume-de-carozo_img233458t0.jpg;4.223.391.930.556.610;-8.719.024.658.203.120;;es-ES
10261;Vaiche Boa;restaurantes;13;Restaurante 1 Tenedor;Joaquín Yáñez, 8 - Bajo;36202;661288201;;Nueva tapería en el casco viejo de Vigo. Productos frescos en un ambiente renovado e innovador.;http://www.turismodevigo.org/sites/turismodevigo/files/res290.jpg;4.223.391.930.556.610;-8.719.024.658.203.120;;es-ES
10249;La Comedia;restaurantes;13;Restaurante de 1 Tenedor;Calle Vázquez Varela, 50.;36205;886 118 466;http://www.lacomediavigo.es;Desayunos, Menú del día. Tapas varias típicas, cocina casera. Capacidad aprox. salón principal 60 personas. Salón privado, aprox. 50 personas. (por reserva).;http://www.turismodevigo.org/sites/turismodevigo/files/lacomedia.jpg;422.309.422;-8.715.305.899.999.970;;es-ES
10250;La Pintxoteca;restaurantes;13;Restaurante 1 Tenedor;Sombrereiros, 2;36202;;;Excelentes tapas al más puro estilo vasco en pleno casco viejo de Vigo.;http://www.turismodevigo.org/sites/turismodevigo/files/res291.jpg;422.384.693;-8.726.416.599.999.990;;es-ES
8972;Tapas Areal;restaurantes;13;Restaurante de 1 Tenedor;México, 36;36204;986418643;;Tiene capacidad para 50 comensales.;http://www.turismodevigo.org/sites/turismodevigo/files/res273.jpg;422.324.490.867.894;-871.596.471.966.545;;es-ES
8973;María Manuela;restaurantes;13;Restaurante de 2 Tenedores;Praza de Compostela, 13;36201;886143162;;Tiene capacidad para 80 comensales.;http://www.turismodevigo.org/sites/turismodevigo/files/res274.jpg;422.391.282.265.856;-872.157.866.101.649;;es-ES
8975;Tapería Restaurante El Cortijo;restaurantes;13;Restaurante de 1 Tenedor;Rosalía de Castro, 59;36201;986229372;;Tiene capacidad para 58 comensales.;http://www.turismodevigo.org/sites/turismodevigo/files/res276.jpg;422.380.595.222.033;-871.291.330.742.086;;es-ES
8862;La Oliva;restaurantes;13;Restaurante de 1 Tenedor;Serafín Avendaño. 8;36201;986228864;www.restaurantelaoliva.com;Especialidad en carnes de buee e comidas de grupo.;http://www.turismodevigo.org/sites/turismodevigo/files/res132.jpg;422.376.212.185.846;-871.424.622.938.861;;es-ES
8868;La Quilla;restaurantes;13;Restaurante de 1 Tenedor;Montero Ríos, 10 bajo;36201;986225347;;Acogedor restaurante donde se puede degustar los pratos más típicos de la comida gallega.;http://www.turismodevigo.org/sites/turismodevigo/files/res139.jpg;42.240.338.708.919;-872.327.631.879.669;;es-ES
8831;El Timón;restaurantes;13;Restaurante de 2 Tenedores;Montero Ríos, 6;36201;986439107;www.eltimonvigo.com;Este restaurante-tapería tiene capacidad para 40 comensales. Permanece cerrado los domingos.;http://www.turismodevigo.org/sites/turismodevigo/files/res092.jpg;422.403.270.330.766;-872.356.349.781.453;;es-ES
8854;Juan Gaviota;restaurantes;13;Restaurante de 1 Tenedor;Manuel Castro, 12;36212;986164715;www.restaurantegaviota.es;Tiene capacidad para 116 comensales.;http://www.turismodevigo.org/sites/turismodevigo/files/res120.jpg;422.136.280.643.331;-874.144.712.763.316;;es-ES
