idpoi,title,layer,type,subcategoria,address,postcode,phone,web,description,image_uri,lat,lon,mp3_uri,lang
8230,Alda Estación,alojamientos,14,Hotel de 1 estrella,"Alfonso XIII, 17-19",36201,986438911,www.recamar.com,"Céntrico y acogedor hotel de Vigo, en la provincia de Pontevedra, el Hotel Recamar es un confortable establecimiento que le permitirá disfrutar de una agradable estancia en Vigo.",http://www.turismodevigo.org/sites/turismodevigo/files/alo002.jpg,42.235224070922,-8.715151126775822,,es-ES
8231,Sol-Por,alojamientos,14,Hotel de 1 estrella,"Vía Norte, 9-1º A",36206,986416036,www.hotelsolpor.com,"Pequeño hotel próximo a la estación de tren de Urzáiz, frente al hospital de Fátima.",http://www.turismodevigo.org/sites/turismodevigo/files/alo003.jpg,42.2348591245786,-8.70890742159952,,es-ES
8303,Inffinit,alojamientos,14,Hotel de 3 estrellas,"Marqués de Valladares, 8",36201,986442224,www.inffinit.com,"Edificio rehabilitado en 2009. Un hotel urbano, con un elegante y cuidado diseño, tanto interior como exterior, que escapa de las estridencias formales y donde se cuida hasta el mas mínimo detalle.",http://www.turismodevigo.org/sites/turismodevigo/files/alo076.jpg,42.2390843967642,-8.722294990654405,,es-ES
8294,B&B Vigo,alojamientos,14,Hotel de 3 estrellas,"Alfonso XIII, 11",36201,986447440,www.ensenadavigo.com,"Hotel próximo al puerto de Vigo. Situado en el nucleo urbano de Vigo, ubicado en la zona comercial y financiera de la ciudad, a 700 metros de la estacion de ferrocarril y 15 minutos del aeropuerto.",http://www.turismodevigo.org/sites/turismodevigo/files/alo067.jpg,42.2355109870083,-8.715367045873336,,es-ES
8311,NH Collection Palacio de Vigo,alojamientos,14,Hotel de 4 estrellas,"Avda García Barbón, 17-19",36201,986433643,www.nh-hotels.com,El hotel NH Collection Palacio de Vigo ofrece 108 elegantes y acogedoras habitaciones en un edificio histórico completamente renovado que data de 1904. La fachada original de granito y la carpintería interior están realzadas con las más modernas comodidades.,http://www.turismodevigo.org/sites/turismodevigo/files/alo084.jpg,42.2374677412219,-8.718657310864842,,es-ES
10246,O Castro,alojamientos,14,Residencia de estudiantes,"Rúa Xeración Nos, 4",36310,986031000,http://www.resa.es/Residencias/O-Castro,"Dispone de 21 habitaciones individuales con cocina y 204 habitaciones individuales con cocina compartida. Todas las habitaciones tienen baño propio, teléfono, calefacción, internet, antena de tv y conexión vía satélite. Habitaciones adaptadas a discapacitados.",http://www.turismodevigo.org/sites/turismodevigo/files/alo101.jpg,42.1709965,-8.686300599999981,,es-ES
8283,Atlántico,alojamientos,14,Hotel de 2 estrellas,"García Barbón, 35",36201,986220530,www.hotelatlanticovigo.com,El Hotel Atlántico es un moderno y funcional hotel anclado en el centro de la ciudad de Vigo.,http://www.turismodevigo.org/sites/turismodevigo/files/alo055.jpg,42.2371879852373,-8.7176643232259,,es-ES
8300,Gran Hotel Nagari,alojamientos,14,Hotel de 5 estrellas,Praza de Compostela,36201,986211111,www.gruposolvidahoteles.com/spa/nagari_boutique_spa.php,"Ubicado en un edificio histórico, conserva su imponente fachada catalogada. Ya en su interior totalmente reformado- el diseño de cada uno de sus espacios está marcado por líneas clásicas y orientales fusionadas con el vanguardismo más moderno.",http://www.turismodevigo.org/sites/turismodevigo/files/alo073.jpg,42.240845223896,-8.71986483512658,,es-ES
8293,El Águila,alojamientos,14,Hotel de 1 estrella,"Victoria, 6",36201,986431398,www.hotelaguila.com,En pleno centro comercial y a muy pocos metros del paseo marítimo donde se encuentra el Club nautico y Puerto Comercial.,,42.2387490821213,-8.72427957833081,,es-ES
8280,Ac Hotel Palacio Universal,alojamientos,14,Hotel de 4 estrellas,"Cánovas del Castillo, 28",36202,986449250,www.espanol.marriott.com/hotels/travel/vgopa-ac-hotel-palacio-universal,"El AC Hotel Palacio Universal, construido a finales del siglo XIX y ubicado en el corazón de la ciudad. Se encuentra muy cerca del centro histórico y no muy lejos de la playa, del paseo marítimo y del centro de exposiciones.",http://www.turismodevigo.org/sites/turismodevigo/files/alo052.jpg,42.2400392950089,-8.7246151813054,,es-ES
