idpoi;title;layer;type;subcategoria;address;postcode;phone;web;description;image_uri;lat;lon;mp3_uri;lang
8402;MARCO. Museo de Arte Contemporánea de Vigo;lugares;38;Centro de arte contemporánea;Príncipe, 54;36202;986113900;www.marcovigo.com;MARCO no tiene colección permanente y funciona como centro de arte contemporáneo, con un programa de exposiciones temporales y un conjunto de actividades paralelas de las que el programa educativo es una parte esencial.;http://www.turismodevigo.org/sites/turismodevigo/files/lug020.jpg;422.359.738.934.723;-8.721.122.108.231.490;http://www.turismodevigo.org/sites/turismodevigo/files/09-museo_de_arte_contemporaneo_de_vigo_1.mp3;es-ES
8406;"Museo Municipal de Vigo ""Quiñones de León""";lugares;38;Arquitectura civil;Parque de Castrelos, s/n;36213;986295070;www.museodevigo.org;El museo municipal de Vigo íQuiñones de Leóní es una institución, dependiente del ayuntamiento de Vigo, encuadrada, actualmente, en Cultura, Fiestas y Museos.;http://www.turismodevigo.org/sites/turismodevigo/files/lug024.jpg;422.131.763.333.631;-8.727.810.303.803.150;http://www.turismodevigo.org/sites/turismodevigo/files/08-museo_quinones_de_leon.mp3;es-ES
8615;Villa Romana de Toralla;lugares;38;Yacimiento;Canido - Barrio Illa de Toralla - Carretera PO 324;36391;986810260;;La principal particularidad de este yacimiento, que data de los siglos IV y V después de Cristo, es que es la única villa de Galicia que está excavada íntegramente y puede ser visitada.;http://www.turismodevigo.org/sites/turismodevigo/files/lug250.jpg;421.962.806.038.844;-8.795.211.533.448.760;http://www.turismodevigo.org/sites/turismodevigo/files/04-villa_romana_de_toralla.mp3;es-ES
8622;Fundación Sales;lugares;38;Fundación;Avda. de Europa, 52;36212;986240882;www.fundacionsales.org;Un espacio íntimo, romántio, exótico y vital. Un refugio para el cuerpo y el espíritu de imprescindible visita.;http://www.turismodevigo.org/sites/turismodevigo/files/lug257.jpg;422.152.064.689.806;-876.319.669.812.673;;es-ES
8621;Fundación Pedro Barrié de la Maza;lugares;38;Fundación;Policarpo Sanz, 31;36203;986110220;;La Fundación Pedro Barrié de la Maza es una entidad sin ánimo de lucro, de carácter privado, dedicada a promover el desarrollo de Galicia desde una perspectiva global.;http://www.turismodevigo.org/sites/turismodevigo/files/lug256.jpg;422.378.264.247.316;-872.091.580.258.333;;es-ES
8613;O Castro de Vigo;lugares;38;Yacimiento;Monte O Castro;36202;;;íO Castro de Vigo. A Orixe da cidadeí es un yacimiento arqueológico de 1.800 metros cuadrados que incluye la reconstrucción de tres edificaciones castreñas de uno de los poblados más extensos y evolucionados de Galicia.;http://www.turismodevigo.org/sites/turismodevigo/files/lug248.jpg;422.317.763.288.229;-872.789.663.951.502;;es-ES
8614;Centro arqueológico Salinae;lugares;38;Yacimiento;Rosalía de Castro, 21;36201;986247691;www.museodomar.com/salinae/;La exposición propone un recorrido para conocer la historia de la única salina marina por evaporación solar conservada y musealizada de todo el Imperio Romano.;http://www.turismodevigo.org/sites/turismodevigo/files/lug249.jpg;422.383.185.372.312;-871.744.364.020.964;;es-ES
8616;Casa Galega da Cultura;lugares;38;Centro de estudio;Plaza de la Princesa;36202;986226459;;Centro en el que se concitan la programación de actividades artísticas y literarias con la existencia de un fondo bibliográfico y museográfico altamente cualificado en lo que se refiere al estudio de la realidad histórica y actual de Galicia.;http://www.turismodevigo.org/sites/turismodevigo/files/lug251.jpg;422.381.550.515.181;-872.605.800.374.697;;es-ES
8617;Archivo fotográfico Pacheco;lugares;38;Archivo;Policarpo Sanz, 15;36202;986435121;;El archivo Pacheco representa la más completa colección de recursos fotográficos de titularidad pública sobre la ciudad de Vigo.;http://www.turismodevigo.org/sites/turismodevigo/files/lug252.jpg;422.377.800.440.228;-872.294.674.960.066;;es-ES
8618;Centro Cultural Novagalicia;lugares;38;Centro Cultural;Policarpo Sanz, 13;36203;986828200;www.servinova.com;El 22 de marzo de 1984 se inaugura el Centro Cultural Caixanova, convirtiéndose en uno de los proyectos culturales más importantes realizados por una entidad bancaria en España.;http://www.turismodevigo.org/sites/turismodevigo/files/lug253.jpg;422.378.348.079.872;-872.342.271.126.004;;es-ES
8619;Centro Cultural Novagalicia;lugares;38;Centro Cultural;Policarpo Sanz, 21, 2º;36202;986815077;www.obrasocialncg.com;La Obra Social de Novagalicia tiene el objetivo de mejorar la calidad de vida de la población, fomentando la participación, el voluntariado, el asociacionismo y acercando las nuevas tecnologías al conjunto de la sociedad.;http://www.turismodevigo.org/sites/turismodevigo/files/lug254.jpg;422.377.928.866.386;-87.220.676.669.618;;es-ES
8620;Centro Social Novagalicia;lugares;38;Centro Social;Policarpo Sanz, 24-26;36203;986828200;www.coleccioncaixanova.com;Es un edificio multifuncional, concebido con el fin de que sus espacios puedan ser utilizados por entidades públicas y privadas, así como por organizaciones no gubernamentales que desempeñen actividades acordes con la filosofía del Centro.;http://www.turismodevigo.org/sites/turismodevigo/files/lug255.jpg;422.374.215.635.812;-872.251.540.931.047;;es-ES
