idpoi;title;layer;type;subcategoria;address;postcode;phone;web;description;image_uri;lat;lon;mp3_uri;lang
8251;Illas Cíes;alojamientos;24;Pensión 1 estrella;Martín Codax, 7;1º;36201;986224378;The hostel can accommodate seven people in five rooms.;;422.355.841.178.181;-871.644.838.646.638;;es-ES
8250;Gran Vía;alojamientos;24;Pensión 3 estrellas;Gran Vía, 41-5º;36204;986415444;www.hostalgranvia.com;La pensión cuenta con 28 plazas repartidas en 15 habitaciones.;http://www.turismodevigo.org/sites/turismodevigo/files/alo022.jpg;422.313.289.886.964;-87.180.447.336.453;;es-ES
8264;Pensión Residencia Real;alojamientos;24;Pensión 1 estrella;Rúa Real, 22 - 1º;36202;986221429;www.hostalrealenvigo.com;Dispone de 4 habitaciones.;http://www.turismodevigo.org/sites/turismodevigo/files/alo036.jpg;42.239.107.626.715;-872.732.559.585.762;;es-ES
8240;Ancla Dorada;alojamientos;24;Pensión 2 estrellas;Irmandiños, 22;36203;986436607;www.ancladorada.com;La pensión cuenta con 28 plazas repartidas en 19 habitaciones.;http://www.turismodevigo.org/sites/turismodevigo/files/alo012.jpg;422.355.070.511.155;-871.686.916.179.769;;es-ES
8252;La Estradense;alojamientos;24;Pensión 2 estrellas;Alfonso XIII, 46;36201;986431512;;Dispone de 20 habitaciones.;http://www.turismodevigo.org/sites/turismodevigo/files/alo024.jpg;422.356.450.411.197;-871.581.746.685.737;;es-ES
8248;Estrella, La;alojamientos;24;Pensión 1 estrella;Martín Codax, 5;36204;986225035;www.laestrellavigo.es;Dispone de 6 habitaciones.;http://www.turismodevigo.org/sites/turismodevigo/files/alo020.jpg;422.356.880.684.808;-871.637.084.209.452;;es-ES
8247;Continental;alojamientos;24;Pensión 3 estrellas;Baixada á Fonte, 3;36202;986220764;;La pensión cuenta con 18 plazas repartidas en 13 habitaciones.;http://www.turismodevigo.org/sites/turismodevigo/files/alo019.jpg;422.396.148.890.858;-872.556.650.825.868;;es-ES
8246;Consuelo;alojamientos;24;Pensión 1 estrella;Estr. Provincial, 26;2º - 4º;36214;;The hostel can accommodate seven people in five rooms.;;422.272.039.763.516;-871.757.172.379.448;;es-ES
8245;Casais;alojamientos;24;Pensión 2 estrellas;Lepanto, 15;36201;886112956;www.hostalcasaisvigo.com;Este pequeño hostal de estilo tradicional le ofrece un alojamiento confortable y una buena ubicación en el centro de la bonita ciudad gallega de Vigo.;http://www.turismodevigo.org/sites/turismodevigo/files/alo017.jpg;422.348.789.591.465;-871.556.164.357.418;;es-ES
8244;Casa Roade;alojamientos;24;Pensión 1 estrella;Baixada Praia Saiáns, 152;36392;986207712;;La pensión cuenta con 8 plazas repartidas en 5 habitaciones.;http://www.turismodevigo.org/sites/turismodevigo/files/alo016.jpg;421.730.409.008.897;-881.230.384.128.116;;es-ES
8243;Buenos Aires;alojamientos;24;Pensión 3 estrellas;Marqués de Valladares, 56;36201;986433924;;La pensión cuenta con 33 plazas repartidas en 18 habitaciones.;http://www.turismodevigo.org/sites/turismodevigo/files/alo015.jpg;422.380.130.534.338;-871.946.067.098.535;;es-ES
8241;Bouzas;alojamientos;24;Pensión 3 estrellas;José de La Peña, 22;36208;986239565;;La pensión dispone de 18 haitaciones.;http://www.turismodevigo.org/sites/turismodevigo/files/alo013.jpg;422.222.375.760.967;-874.932.936.934.321;;es-ES
8238;Agra;alojamientos;24;Pensión 1 estrella;Tomás A. Alonso, 66. 1º;36208;986235125;www.hostalagra.com;Está situado  a 100 m. del puerto de Vigo, a 15 minutos del aeropuerto y a 10 minutos estación de tren y de autobuses. Disponen de una parada de taxis al lado del hostal.;http://www.turismodevigo.org/sites/turismodevigo/files/alo010.jpg;422.242.344.659.861;-873.696.098.686.241;;es-ES
