idpoi;title;layer;type;subcategoria;address;postcode;phone;web;description;image_uri;lat;lon;mp3_uri;lang
8938;Callao;restaurantes;57;Restaurante de 1 Tenedor;Gregorio Espino, 58;36205;986279034;;Tiene capacidad para 54 comensales.;http://www.turismodevigo.org/sites/turismodevigo/files/res229.jpg;422.258.448.890.199;-870.914.088.908.953;;es-ES
8939;Ree;restaurantes;57;Restaurante de 1 Tenedor;Sagunto, 57;36205;986275265;;Tiene capacidad para 40 comensales.;http://www.turismodevigo.org/sites/turismodevigo/files/res230.jpg;422.282.376.497.474;-870.195.825.636.094;;es-ES
8767;Acuario;restaurantes;57;Restaurante de 1 Tenedor;Cervantes, 23;36201;986223015;;Tiene capacidad para 47 comensales.;http://www.turismodevigo.org/sites/turismodevigo/files/res013.jpg;422.350.628.895.954;-871.718.847.705.442;;es-ES
8768;Angel;restaurantes;57;Restaurante de 1 Tenedor;Alberto Baltar, 3;36210;986298313;;Tiene capacidad para 48 comensales.;http://www.turismodevigo.org/sites/turismodevigo/files/res016.jpg;422.177.444.922.526;-87.360.687.811.503;;es-ES
8769;Restaurante Marítimo;restaurantes;57;Restaurante de 1 Tenedor;Montero Ríos, 36;36201;986431979;;Acogedor restaurante donde se puede degustar los pratos más típicos de la comida gallega.;;422.404.602.237.287;-872.133.793.279.272;;es-ES
8983;Bahía;restaurantes;57;Restaurante de 2 Tenedores;Plaza da Pedra;36202;986449655;;Tiene capacidad para 36 comensales.;http://www.turismodevigo.org/sites/turismodevigo/files/res286.jpg;42.239.907;-8.725.625;;es-ES
8970;Barbantes;restaurantes;57;Restaurante de 1 Tenedor;Fontenla, 37;36331;986492061;;Tiene capacidad para 65 comensales.;http://www.turismodevigo.org/sites/turismodevigo/files/res268.jpg;421.964.437.470.107;-878.945.435.824.598;;es-ES
8969;Barbantes;restaurantes;57;Restaurante de 1 Tenedor;Cuba, 3;36204;986416024;;Tiene capacidad para 14 comensales. Permanece cerrado los domingos.;http://www.turismodevigo.org/sites/turismodevigo/files/res266.jpg;422.333.496.581.577;-871.612.116.027.805;;es-ES
8968;Ensenada;restaurantes;57;Restaurante de 3 Tenedores;Alfonso XIII, 9-11;36201;986449714;;Tiene capacidad para 64 comensales.;http://www.turismodevigo.org/sites/turismodevigo/files/res265.jpg;422.352.356.074.978;-871.544.302.878.924;;es-ES
8967;Argentino;restaurantes;57;Restaurante de 2 Tenedores;Lepanto, 8;36201;986222026;www.hotelargentino.es;Tiene capacidad para 52 comensales.;http://www.turismodevigo.org/sites/turismodevigo/files/res264.jpg;422.345.449.122.043;-87.160.497.632.248;;es-ES
8966;Compostela;restaurantes;57;Restaurante de 2 Tenedores;Plaza de Compostela, 6;36201;986432896;www.mesoncompostela.com;Tiene capacidad para 56 comensales.;http://www.turismodevigo.org/sites/turismodevigo/files/res263.jpg;422.390.559.787.886;-872.285.930.967.866;;es-ES
8965;Zona Cero;restaurantes;57;Restaurante de 1 Tenedor;México, 8;36204;986482504;;Tiene capacidad para 72 comensales.;http://www.turismodevigo.org/sites/turismodevigo/files/res262.jpg;422.336.046.889.013;-871.515.322.778.057;;es-ES
8963;Washington;restaurantes;57;Restaurante de 1 Tenedor;Teixugueiras nº 19, local 25 D;36057;886128772;;Tiene capacidad para 47 comensales.;http://www.turismodevigo.org/sites/turismodevigo/files/res260.jpg;42.210.027.015.766;-875.530.522.821.184;;es-ES
