idpoi;title;layer;type;subcategoria;address;postcode;phone;web;description;image_uri;lat;lon;mp3_uri;lang
8971;A Chabola;restaurantes;7;Restaurante de 1 Tenedor;Praia Arealonga;36216;986453148;;Especialidad en comida típica gallega.;http://www.turismodevigo.org/sites/turismodevigo/files/res271.jpg;422.641.786.623.714;-86.775.287.359.834;;es-ES
8922;Padrón;restaurantes;7;Restaurante de 1 Tenedor;Sanjurjo Badía, 101;36207;986376003;;Especialidad en comida gallega;http://www.turismodevigo.org/sites/turismodevigo/files/res207.jpg;422.466.884.954.985;-87.008.680.277.217;;es-ES
8957;Turista;restaurantes;7;Restaurante de 1 Tenedor;Ribeira do Berbés, 27;36214;986222007;www.restauranteturista.es;Tiene capacidad para 8 comensales.;http://www.turismodevigo.org/sites/turismodevigo/files/res253.jpg;422.373.301.046.046;-872.916.207.686.991;;es-ES
8883;Maintal;restaurantes;7;Restaurante de 1 Tenedor;Maestro Montes, 7;36206;986273834;;Tiene capacidad para 20 comensales. Permanece cerrado los domingos.;http://www.turismodevigo.org/sites/turismodevigo/files/res156.jpg;422.409.299.774.828;-8.703.248.339.027;;es-ES
8864;La Parra;restaurantes;7;Restaurante de 1 Tenedor;Rua Alta, 31;36202;986438086;;Tiene capacidad para 8 comensales. Permanece cerrado los domingos.;http://www.turismodevigo.org/sites/turismodevigo/files/res134.jpg;422.385.884.246.575;-872.815.547.708.111;;es-ES
8827;A Curuxa;restaurantes;7;Restaurante de 1 Tenedor;Cesteiros, 7 bajo;36202;986438857;;Tiene capacidad para 21 comensales.;http://www.turismodevigo.org/sites/turismodevigo/files/res087.jpg;422.377.321.100.224;-872.900.842.365.156;;es-ES
8857;La Comidilla;restaurantes;7;Restaurante de 1 Tenedor;Palma, 5;36202;986431143;www.xente.mundo-r.com/julencan/publi/comidilla/;Restuarante acogedor situado en pleno casco viejo de Vigo;http://www.turismodevigo.org/sites/turismodevigo/files/res124.jpg;42.239.134.667.273;-872.563.174.987.855;;es-ES
8776;Casa Bravo;restaurantes;7;Restaurante de 1 Tenedor;Av. Europa, 43;36212;986241296;;Acogedor restaurante donde se puede degustar los pratos más típicos de la comida gallega.;http://www.turismodevigo.org/sites/turismodevigo/files/res024.jpg;422.140.692.426.756;-876.325.612.483.981;;es-ES
8770;As Cangas;restaurantes;7;Restaurante de 1 Tenedor;Talude, 3;36205;986281607;www.sidreriaascangas.com;Tiene capacidad para 30 comensales.;http://www.turismodevigo.org/sites/turismodevigo/files/res018.jpg;422.308.911.149.409;-870.821.454.978.346;;es-ES
8787;Dalhaisal;restaurantes;7;Restaurante de 1 Tenedor;Manuel de Castro, 9;36210;986244329;;Especialidad en comida casera e todo tipo de arroces. Permanece cerrado los domingos e los lunes por la noche.;http://www.turismodevigo.org/sites/turismodevigo/files/res036.jpg;422.136.828.801.566;-874.098.591.210.982;;es-ES
8806;Casavella;restaurantes;7;Restaurante de 1 Tenedor;Pescadería, 1, bajo derecha;36202;986227244;www.restaurantecasavella.com;Tiene capacidad para 30 comensales.;http://www.turismodevigo.org/sites/turismodevigo/files/res058.jpg;422.398.556.914.793;-872.570.794.782.944;;es-ES
8807;Central Pork;restaurantes;7;Restaurante de 1 Tenedor;Vía Norte, 40;36204;986410843;;Tiene capacidad para 75 comensales.;http://www.turismodevigo.org/sites/turismodevigo/files/res059.jpg;422.345.074.575.488;-871.019.089.334.244;;es-ES
