idpoi;title;layer;type;subcategoria;address;postcode;phone;web;description;image_uri;lat;lon;mp3_uri;lang
8733;Monte da Guía;lugares;41;Ponto de interesse;;;;;Uno de los lugares más visitados de Vigo;http://www.turismodevigo.org/sites/turismodevigo/files/lug377.jpg;42.255.785;-870.188;http://www.turismodevigo.org/sites/turismodevigo/files/lug377es.mp3;es-ES
8731;Ría de Vigo;lugares;41;Ponto de interesse;;;;;Uno de los lugares más visitados de Vigo;http://www.turismodevigo.org/sites/turismodevigo/files/lug375.jpg;42.266.566;-8.705.965;http://www.turismodevigo.org/sites/turismodevigo/files/lug375es.mp3;es-ES
8724;Mercado da Pedra;lugares;41;Mercado;Calle de las Ostras s/n;36202;;;Uno de los lugares más visitados de Vigo;http://www.turismodevigo.org/sites/turismodevigo/files/lug368.jpg;4.223.989;-8.726.449;http://www.turismodevigo.org/sites/turismodevigo/files/lug368es.mp3;es-ES
8725;Praza da Constitución;lugares;41;Ponto de interesse;Praza da Constitución s/n;36202;;;Uno de los lugares más visitados de Vigo;http://www.turismodevigo.org/sites/turismodevigo/files/lug369.jpg;42.238.511;-8.726.054;http://www.turismodevigo.org/sites/turismodevigo/files/lug369es.mp3;es-ES
8726;Praza da Porta do Sol;lugares;41;Ponto de interesse;Praza da Porta do Sol s/n;36202;;;Uno de los lugares más visitados de Vigo;http://www.turismodevigo.org/sites/turismodevigo/files/lug370.jpg;42.238.025;-8.724.222;http://www.turismodevigo.org/sites/turismodevigo/files/lug370es.mp3;es-ES
8727;Rúa dos Cesteiros;lugares;41;Ponto de interesse;Rúa dos Cesteiros s/n;36202;;;Uno de los lugares más visitados de Vigo;http://www.turismodevigo.org/sites/turismodevigo/files/lug371.jpg;42.238.882;-8.726.348;http://www.turismodevigo.org/sites/turismodevigo/files/lug371es.mp3;es-ES
8728;Rúa do Príncipe;lugares;41;Ponto de interesse;Rúa do Príncipe s/n;36202;;;Uno de los lugares más visitados de Vigo. Ideal para hacer compras;http://www.turismodevigo.org/sites/turismodevigo/files/lug372.jpg;42.237.019;-8.723.187;http://www.turismodevigo.org/sites/turismodevigo/files/lug372es.mp3;es-ES
8729;Churruca;lugares;41;Ponto de interesse;Rúa Churruca s/n;36202;;;Uno de los lugares más visitados de Vigo. Ideal para tomar un vino;http://www.turismodevigo.org/sites/turismodevigo/files/lug373.jpg;42.235.521;-87.174;http://www.turismodevigo.org/sites/turismodevigo/files/lug373es.mp3;es-ES
8730;Areal;lugares;41;Ponto de interesse;Rúa Areal s/n;36202;;;Uno de los lugares más visitados de Vigo;http://www.turismodevigo.org/sites/turismodevigo/files/lug374.jpg;42.239.109;-8.716.955;http://www.turismodevigo.org/sites/turismodevigo/files/lug374es.mp3;es-ES
8732;Illas Cíes;lugares;41;Ponto de interesse;;;;;Uno de los lugares más visitados de Vigo;;4.222.993;-890.417;http://www.turismodevigo.org/sites/turismodevigo/files/lug376es.mp3;es-ES
