idpoi,title,layer,type,subcategoria,address,postcode,phone,web,description,image_uri,lat,lon,mp3_uri,lang
8605,Jardines de Elduayen,lugares,42,Parque,Calle Montero Ríos,36201,,,"Estos jardines eran, originalmente, de estilo inglés pero las sucesivas remodelaciones a las que fueron sometidos modificaron su característica inicial. En los jardines se encuetra la escultura de Elduayen realizada por Agustín Querol.",http://www.turismodevigo.org/sites/turismodevigo/files/lug240.jpg,42.2408126035468,-8.72236639593876,,es-ES
8500,Xardíns de Eijo Garay,lugares,42,Parque,Concepción Arenal,36201,,,Este parque tiene una extensión de 18.000 m2. En estos jardines está situada la Jefatura o Comandancia de Marina y preciosas fuentes como la del gallo.,http://www.turismodevigo.org/sites/turismodevigo/files/lug122.jpg,42.2395937555774,-8.718588530707,,es-ES
8489,Paseo Avenida de Castelao,lugares,42,Parque,Avda. de Castelao,36209,,,Constituye una importante zona verde en el núcleo de la ciudad dónde es posible practicar baloncesto en su cancha o simplemente pasear y relajarse.,http://www.turismodevigo.org/sites/turismodevigo/files/lug110.jpg,42.2202588033638,-8.73949315574245,,es-ES
8395,Parque lineal Río Lagares,lugares,42,Parque,,36213,,,Un paseo por este parque nos permite observar una gran diversidad de aves por estar próximo a la desembocadura del río Lagares.,http://www.turismodevigo.org/sites/turismodevigo/files/lug013.jpg,42.206926131724,-8.7522706947625,,es-ES
8384,Parque de Castrelos e Xardíns de Quiñones de León,lugares,42,Parque,Avda. Castrelos,36213,,,"Integra los jardines históricos y bosque del pazo, el estanque moderno, la arboleda de Castrelos y una parte del Paseo del Lagares.",http://www.turismodevigo.org/sites/turismodevigo/files/lug002.jpg,42.2133145495391,-8.72921592597079,,es-ES
8387,Parque de la Guía,lugares,42,Parque,"Avda. Doña Fermina, s/n",36207,,,Este parque tiene una extensión de 200.000 metros cuadrados y está situado en el barrio de Teis. En la cumbre se encuentra la ermita de Nuestra Señora de las Nieves desde donde se divisa una preciosa vista de la Ría de Vigo y de la ciudad.,http://www.turismodevigo.org/sites/turismodevigo/files/lug005.jpg,42.2569235758019,-8.70116067148812,,es-ES
8388,Parque de la Riouxa,lugares,42,Parque,Teis,36216,,,Este parque tiene una extensión de 59.700 metros cuadrados y se encuentra en la parroquia de Teis. Tiene una gran superficie no arbolada y en la parte inferior del parque tiene un pequeño anfiteatro donde se celebran las fiestas y otras actuaciones.,http://www.turismodevigo.org/sites/turismodevigo/files/lug006.jpg,42.2583122301686,-8.68171692439986,,es-ES
8389,Parque Do Castro,lugares,42,Parque,Vigo,36203,,,Se trata de un parque situado en el centro de la ciudad de Vigo. El monte de O Castro es uno de los parques más frecuentados de la ciudad y un símbolo para todos los vigueses.,http://www.turismodevigo.org/sites/turismodevigo/files/lug007.jpg,42.2329844043402,-8.72564376013243,,es-ES
8383,Parque Camilo José Cela,lugares,42,Parque,Pi y Margall y Torrecedeira,36202,,,"Este parque tiene una extensión de 7.000 m2 y está en el centro de Vigo, entre las calles Pi y Margall y Torrecedeira. Fue construido por Agustín Arca en honor al premio Nobel Camilo José Cela.",http://www.turismodevigo.org/sites/turismodevigo/files/lug001.jpg,42.2322026576291,-8.73060442290014,,es-ES
8386,Parque de la Bouza,lugares,42,Parque,Rúa Padre Seixas,36209,,,"El parque de A Bouza cuenta con grandes áreas de paseo, jardines y estanques. El mayor tesoro que esconde es un espacio natural de 3.721 metros cuadrados con 19 especies diferentes de aves, erizos, reptiles y anfibios.",http://www.turismodevigo.org/sites/turismodevigo/files/lug004.jpg,42.2133433831844,-8.7474140369344,,es-ES
