idpoi;title;layer;type;subcategoria;address;postcode;phone;web;description;image_uri;lat;lon;mp3_uri;lang
8714;Barcos de la Batalla de la Bahía de Vigo;lugares;40;Pecio;Estrecho de Rande, ría de Vigo;;;;"Integrado por los restos de los buques hundidos en la Batalla de Rande, conocida internacionalmente como la ""Batalla de la Bahía de Vigo"", librada en octubre de 1702 entre una escuadra franco-española y una anglo-holandesa.";http://www.turismodevigo.org/sites/turismodevigo/files/lug358.jpg;422.888.816.448.946;-8.659.976.877.087.610;http://www.turismodevigo.org/sites/turismodevigo/files/03-batalla_de_rande_cast.mp3;es-ES
8702;Astillero Vulcano;lugares;40;Construcción de barcos;Calle de la Devesa Santa Tegra, 69;36207;986266161;www.factoriasvulcano.com;Factoría con larga tradición en la construcción de buques. Está afincada en la ría de Vigo desde 1919.;http://www.turismodevigo.org/sites/turismodevigo/files/lug346.jpg;422.509.603.220.018;-870.508.897.920.338;;es-ES
8703;Astillero Barreras;lugares;40;Construcción de barcos;Avenida de Beiramar, 2;36208;986242293;www.hjbarreras.es;La empresa fue fundada en 1982  y está destinada principalmente a la cosntrucción de grandes buques tipo Ro-Ro, Ferrys, offshore, etc.;http://www.turismodevigo.org/sites/turismodevigo/files/lug347.jpg;422.269.296.448.707;-873.943.570.034.223;;es-ES
8704;Club Nautico Punta Lagoa;lugares;40;Puerto deportivo;Camiño Lagoa, s/n;36213;986374305;www.nauticopuntalagoa.com;Club nautico deportivo. Dispone de marina y amarres para embarcaciones deportivas;http://www.turismodevigo.org/sites/turismodevigo/files/lug348.jpg;422.557.094.770.781;-870.617.713.914.583;;es-ES
8690;Liceo Marítimo de Bouzas;lugares;40;Puerto deportivo;Av. Eduardo Cabello, 8;36208;986239955;www.liceobouzas.com;Club nautico deportivo. Dispone de marina y amarres para embarcaciones deportivas;http://www.turismodevigo.org/sites/turismodevigo/files/lug327.jpg;422.267.675.141.582;-875.187.920.193.049;;es-ES
8691;Marina Davila Sport;lugares;40;Puerto deportivo;Muelle de reparaciones de Bouzas, s/n;36208;986239955;www.davilasport.es;Club nautico deportivo. Dispone de marina y amarres para embarcaciones deportivas;http://www.turismodevigo.org/sites/turismodevigo/files/lug328.jpg;422.323.485.951.243;-874.438.591.710.844;;es-ES
8692;Real Club Náutico de Vigo;lugares;40;Puerto deportivo;Paseo de las Avenidas, s/n;36202;986447441;www.rcnauticovigo.com;Club nautico deportivo. Dispone de marina y amarres para embarcaciones deportivas;http://www.turismodevigo.org/sites/turismodevigo/files/lug329.jpg;422.411.500.670.359;-872.510.280.080.097;;es-ES
8693;Club nautico de Canido;lugares;40;Puerto deportivo;Muelle de Canido S/N;36390;986492415;www.cmcanido.com;Club nautico deportivo. Dispone de amarres para embarcaciones deportivas;http://www.turismodevigo.org/sites/turismodevigo/files/lug330.jpg;421.945.877.417.659;-880.104.103.676.118;;es-ES
8705;Puerto comercial de Vigo;lugares;40;Puerto comercial;Avenida de Guixar, s/n;36201;986268000;www.apvigo.com;Espacio logístico destinado al transporte y almacenamiento de mercancías por mar.;http://www.turismodevigo.org/sites/turismodevigo/files/lug349.jpg;422.477.364.414.765;-870.888.256.040.916;;es-ES
8719;Puente de Rande;lugares;40;Puente;Ría de Vigo;;;;Fue proyectado por el ingeniero italiano Fabrizio de Miranda, el español Florencio del Pozo (que también se encargó de la cimentación) y por Alfredo Passaro. Es todo un símbolo para los vigueses.;http://www.turismodevigo.org/sites/turismodevigo/files/lug363.jpg;422.877.663.861.074;-866.049.986.605.693;;es-ES
8707;Puerto de pasajeros de Vigo;lugares;40;Puerto de pasajeros;Estación Marítima de Ría;36202;986224757;www.apvigo.com;Espacio logístico destindado al atraque de grandes cruceros así como al transporte de personas en ferry a distintos puntos de la Ría.;http://www.turismodevigo.org/sites/turismodevigo/files/lug351.jpg;422.412.065.150.138;-872.869.939.382.685;;es-ES
8706;Puerto pesquero de Vigo;lugares;40;Puerto pesquero;Puerto pesquero de Vigo;36202;986821508;www.apvigo.com;Espacio logístico destinado a las descarga, transporte y almacenamiento de pescado tanto fresco como congelado.;http://www.turismodevigo.org/sites/turismodevigo/files/lug350.jpg;42.238.650.033.308;-873.012.432.955.699;;es-ES
8718;Mercante;lugares;40;Pecio;Proximidades de Cabo Home;;;;Se trata de un barco mercante que se hundió en es ta zona cargado de platos de porcelana.;http://www.turismodevigo.org/sites/turismodevigo/files/lug362.jpg;42.244.348.656.916;-886.292.153.204.935;;es-ES
8717;Petrolero Polycomander;lugares;40;Pecio;Proximidades de la Isla de Monteagudo, Islas Cíes;;;;El 5 de mayo de 1970, el petrolero noruego Polycommander embarrancó en las Islas Cíes cuando pretendía salir de la ría de Vigo por el canal del Norte. Los 39 tripulantes consiguieron abandonar el barco y no hubo daños personales.;http://www.turismodevigo.org/sites/turismodevigo/files/lug361.jpg;422.375.430.424.596;-889.576.837.402.149;;es-ES
8716;Anforas romanas;lugares;40;Pecio;Ría de Vigo;;;;Al parecer las ánforas hayadas en la zona pertenecían a un buque romano de mediados del siglo I d.C. Tras 2000 años ya no hay restos del buque pero si muestras de su naufrágio, como las ánforas modelo Haltern 70 encontradas.;http://www.turismodevigo.org/sites/turismodevigo/files/lug360.jpg;42.227.131.267.498;-877.131.526.376.522;;es-ES
8715;Polígonos de bateas;lugares;40;Acuicultura;Ría de Vigo;;;;Se trata viveros flotantes o fijos destinadas fundamentalmente al cultivo de mejillón y ostra. Consisten en un emparrillado de madera (normalmente eucalipto) del que cuelgan las cuerdas de cuerdas de cultivo que pueden llegar a 1000 por batea.;http://www.turismodevigo.org/sites/turismodevigo/files/lug359.jpg;422.681.383.015.103;-868.526.011.435.946;;es-ES
