idpoi,title,layer,type,subcategoria,address,postcode,phone,web,description,image_uri,lat,lon,mp3_uri,lang
8639,Monumento a los Galeones de Rande,lugares,39,Escultura,Monte do Castro,36203,,,"Obra del arquitecto Desiderio Pernas, es una gran plataforma sobre la que están situadas tres anclas de navíos hundidos en la Batalla de Rande, librada en la Ría de Vigo en 1702 entre la armada anglo-holandesa y una flota  hispana y francesa.",http://www.turismodevigo.org/sites/turismodevigo/files/lug274.jpg,42.2334156413138,-8.726611864171218,http://www.turismodevigo.org/sites/turismodevigo/files/lug274es.mp3,es-ES
8647,Monumento homenaje a los canteros,lugares,39,Escultura,Eduardo Cabello,36208,,,"La obra es una pieza compleja en la que se pueden observar herramientas propias de este oficio, así como inscripciones en íArxinaí -el idioma de los canteros-.",http://www.turismodevigo.org/sites/turismodevigo/files/lug282.jpg,42.2278997111598,-8.75348131981263,,es-ES
8646,Monumento a Rosalía de Castro,lugares,39,Escultura,Rosalía de Castro,36201,,,Se trata de una obra de Armando Rodriguez formada por un grupo plástico con la escritora gallega rodeada de sus hijos a los que lee un libro.,http://www.turismodevigo.org/sites/turismodevigo/files/lug281.jpg,42.238093622183,-8.71803789317284,,es-ES
8645,Monumento a Mendez Núñez,lugares,39,Escultura,Plaza de Compostela,36201,,,"El pedestal fue diseñado por Jenaro de la Fuente Domínguez y la escultura es de Agustín Querol, en ella se representa al almirante con un gesto airoso y de mando con unos prismáticos y un sable en una mano y con la otra extendida.",http://www.turismodevigo.org/sites/turismodevigo/files/lug280.jpg,42.2392421644792,-8.72364420254209,,es-ES
8644,Monumento a Martín Codax,lugares,39,Escultura,Monte do Castro,36203,,,"Está compuesto por una piedra del mar situada en medio de un estanque; mar al que cantó el Poeta. Podemos observar, sobre la piedra, una placa de bronce que dice: íLa ciudad de Vigo a su cantor Martín Códax, trovador y Juglar del siglo XVIII",http://www.turismodevigo.org/sites/turismodevigo/files/lug279.jpg,42.2302668244403,-8.72734555311601,,es-ES
8633,Monumento a la mujer,lugares,39,Escultura,Jardines de las Avenidas,36201,,,"Monumento situado en Las Avenidas, delante del Real Club Náutico. Obra del escultor vigués Xesús Valverde Alonso. Fue instalado en 1992 como un homenaje de Vigo a la mujer y consta de dos figuras en bronce sobre un pedestal de granito.",http://www.turismodevigo.org/sites/turismodevigo/files/lug268.jpg,42.2407458315668,-8.7229368735407,,es-ES
8634,Monumento a los marineros muertos en el mar,lugares,39,Escultura,Plaza del Puerto Pesquero,36202,,,"Obra escultórica de Cándido Pazos López, inaugurada en junio de 2006. Se trata de un bloque de piedra morena -de unos 8m de alto por 1í20m de ancho- esculpida en espiral, con un rosetón de jade, que simula una especie de ola.",http://www.turismodevigo.org/sites/turismodevigo/files/lug269.jpg,42.2363260863045,-8.73144713472506,,es-ES
8636,Monumento al emigrante,lugares,39,Escultura,Avenida de Castelao,36208,,,"El monumento, en granito, está formado por un plinto en el que se apoya un pedestal; sobre él se levanta un grupo compuesto por padre, madre e hijo que se abrazan en una emotiva escena de reencuentro.",http://www.turismodevigo.org/sites/turismodevigo/files/lug271.jpg,42.2207029340442,-8.73391082737515,,es-ES
8637,Monumento al empuje vigués,lugares,39,Escultura,Monte O Castro,36202,,,"Monumento en piedra, obra de Camilo Nogueira inaugurada en 1966 y situada en el parque de O Castro, representa una barca que avanza en la que tres atletas levantan el escudo de Vigo simbolizando el empuje y la unión.",http://www.turismodevigo.org/sites/turismodevigo/files/lug272.jpg,42.2317347939045,-8.72646354186178,,es-ES
8638,Monumento al Herrero,lugares,39,Escultura,Plaza Eugenio Fradrique,36208,,,"Consiste en un obrero trabajando con gesto de martillear sobre una pieza. Está compuesto por diferentes piezas de hierro, ensambladas una a una íin situí por el escultor, Guillermo Steinbrüggen. Se inauguró en 1970.",http://www.turismodevigo.org/sites/turismodevigo/files/lug273.jpg,42.2245480874109,-8.73648630760391,,es-ES
8635,Monumento a Laxeiro,lugares,39,Escultura,Policarpo Sanz esquina Reconquista,36202,,,"Obra de Xurxo Vázquez situada en la confluencia de las calles Policarpo Sánz y Reconquista, se inauguró en 1997. Se trata de un busto de Don José Otero Abeledo íLaxeiroí, pintor universal vigués.",http://www.turismodevigo.org/sites/turismodevigo/files/lug270.jpg,42.2377020891736,-8.72303174824743,,es-ES
8640,Monumento a los héroes de la Reconquista,lugares,39,Escultura,Plaza de la Independencia,36211,,,"Preside la Plaza de la Independencia, fue levantado con motivo del primer centenario de la Reconquista de Vigo. Es obra del escultor Julio González Pola.",http://www.turismodevigo.org/sites/turismodevigo/files/lug275.jpg,42.2238477213346,-8.73004545803649,,es-ES
8641,"Monumento a los cantores, poetas y trobadores",lugares,39,Escultura,Paseo de Alfonso XII,36202,,,"Monumento en bronce de color pompeia que representa una ninfa sentada sobre un dragón. La figura alada se asienta sobre una columna de granito pulido, de 4 metros de alto y 80 centímetros de ancho.",http://www.turismodevigo.org/sites/turismodevigo/files/lug276.jpg,42.236695526578,-8.72816888060358,,es-ES
8642,Monumento al pescador,lugares,39,Escultura,Calle de San Francisco,36202,,,"Sobre un alto pedestal de dos cuerpos, se eleva la figura de un marinero vestido con la ropa de aguas que sostiene un remo en su mano izquierda, en el frente, una mujer con un hijo y una ípatelaí, espera pacientemente o muestra el fruto de la pesca.",http://www.turismodevigo.org/sites/turismodevigo/files/lug277.jpg,42.2366831438376,-8.72971658900318,,es-ES
8643,Monumeto al trabajo,lugares,39,Escultura,Gran Vía,36203,,,"Grupo escultórico de Ramón Conde de 1991, una de las figuras claves del arte gallego del s.XX. Situado al comienzo de la Gran Vía, está formado por siete marineros tirando de una red que sale de un mar representado por un estanque.",http://www.turismodevigo.org/sites/turismodevigo/files/lug278.jpg,42.2341300319509,-8.71674505059275,,es-ES
8623,Cristo de la Victoria,lugares,39,Talla religiosa,Plaza de la Colegiata,36202,986441667,www.cristodevigo.es,"Durante casi 200 años el Cristo de la Victoria ha despertado pasión entre los vigueses porque para ellos, esta imagen es algo más que la representación de Jesucristo Crucificado.",,42.23925962889,-8.72593478853809,,es-ES
8624,El Nadador,lugares,39,Escultura,Rúa das Avendias,36202,,,"Obra de Francisco Leiro situada en el entorno marítimo, es una obra de bronce con nadadores que se zambullen en el cemento de la calle y otras piezas más abstractas.",http://www.turismodevigo.org/sites/turismodevigo/files/lug259.jpg,42.2406549101768,-8.72612391461795,,es-ES
8625,El Rapto de Europa,lugares,39,Escultura,Avda. de Samil,36212,,,"Ésta figura simboliza el Rapto de Europa; aparece el dios Zeus transformado en toro y sobre él la diosa de la mitología griega, Europa, con la bandera de la UE. Tiene 7 metros de alto y pesa 1500 kg.",http://www.turismodevigo.org/sites/turismodevigo/files/lug260.jpg,42.2113098456578,-8.77428884345071,,es-ES
8626,El Sireno,lugares,39,Escultura,Porta do Sol,36203,,,"Obra del escultor Francisco Leiro, situada en la Puerta del Sol. Está realizada en aluminio sobre columnas de granito negro pulido. Instalado en 1991, la figura representa un personaje imaginario híbrido de pez y hombre.",http://www.turismodevigo.org/sites/turismodevigo/files/lug261.jpg,42.2377922371969,-8.72492835237328,,es-ES
