idpoi,title,layer,type,subcategoria,address,postcode,phone,web,description,image_uri,lat,lon,mp3_uri,lang
8688,Auditorio del Museo de Arte Contemporánea de Vigo (MARCO),lugares,37,Auditorio,"Príncipe, 54",36202,986113900,www.marcovigo.com,Espacio habilitado para la realización de eventos públicos.,http://www.turismodevigo.org/sites/turismodevigo/files/lug325.jpg,42.2358593745221,-8.721064892983577,http://www.turismodevigo.org/sites/turismodevigo/files/09-museo_de_arte_contemporaneo_de_vigo_0.mp3,es-ES
8433,Casa Enrique Mülder,lugares,37,Arquitectura civil,"Avda Montero Ríos, 22",36201,,,"Es una de las obras con carácter más modernista del arquitecto Gómez Román aunque también presenta influencias eclécticas, vienesas y belgas.",http://www.turismodevigo.org/sites/turismodevigo/files/lug052.jpg,42.2402628825264,-8.722306001475545,http://www.turismodevigo.org/sites/turismodevigo/files/07-edificio_mulder_cast.mp3,es-ES
8459,Colegiata de Santa María (Concatedral),lugares,37,Arquitectura religiosa,Plaza de la Colegiata,36202,,,"Edificio religioso de estilo Neoclásico de principios del siglo XIX, obra de Melchor de Prado. Actualmente es Concatedral de la diócesis de Tui-Vigo.",http://www.turismodevigo.org/sites/turismodevigo/files/lug078.jpg,42.2392728022593,-8.725825075030343,http://www.turismodevigo.org/sites/turismodevigo/files/06-concatedral_de_vigo_cast.mp3,es-ES
8428,Casa de Pazos e Figueroa,lugares,37,Arquitectura civil,"Plaza de Almeida, 4",36202,,,"Palacete urbano situado en el barrio histórico de la ciudad. Forma unidad arquitectónica con la Casa de Ceta; en la actualidad, ambos conforman la sede del Instituto Camôes de cultura portuguesa en Vigo. Data del siglo XVI.",http://www.turismodevigo.org/sites/turismodevigo/files/lug047.jpg,42.2391856088788,-8.726658277905358,http://www.turismodevigo.org/sites/turismodevigo/files/05-torre_y_casa_de_los_pazos_de_figueroa.mp3,es-ES
8685,Auditorio del Club Financiero de Vigo,lugares,37,Auditorio,García Barbón 62,36201,986447220,www.clubfinancierovigo.com,Espacio habilitado para la realización de eventos públicos.,http://www.turismodevigo.org/sites/turismodevigo/files/lug322.jpg,42.2366756596314,-8.71221986331063,,es-ES
8684,Auditorio de la Cámara de Comercio de Vigo,lugares,37,Auditorio,"República Argentina, 18",36201,986446343,www.camaravigo.com,Espacio habilitado para la realización de eventos públicos.,http://www.turismodevigo.org/sites/turismodevigo/files/lug321.jpg,42.2366043350156,-8.71884908268981,,es-ES
8687,Auditorio del Museo do Mar de Galicia,lugares,37,Auditorio,"Avda. Atlántida, nº 160",36208,986247750,www.museodomar.com,Espacio habilitado para la realización de eventos públicos.,http://www.turismodevigo.org/sites/turismodevigo/files/lug324.jpg,42.2241397002066,-8.76992736745358,,es-ES
8689,Verbum - Casa das Palabras,lugares,37,Auditorio,"Avda. de Samil, nº 17",36212,986240130,www.verbum.vigo.org,Espacio habilitado para la realización de eventos públicos.,http://www.turismodevigo.org/sites/turismodevigo/files/lug326.jpg,42.2129670379203,-8.77361620143955,,es-ES
8683,Auditorio Martín Códax del Conservatorio Superior de Música,lugares,37,Auditorio,"Manuel Olivé, 23",36203,986471144,http://conservatoriosuperiorvigo.com,Espacio habilitado para la realización de eventos públicos.,http://www.turismodevigo.org/sites/turismodevigo/files/lug320.jpg,42.2289400649774,-8.72331004116441,,es-ES
8694,Iglesia de San Francisco,lugares,37,Arquitectura religiosa,Camino de San Francisco,36202,,,"Antiguo monasterio del Siglo XVII, que tiene su origen en una desaparecida ermita del siglo X. Después de la desamortización en 1887 es Casa de la Caridad.",http://www.turismodevigo.org/sites/turismodevigo/files/lug331.jpg,42.2360817380351,-8.73089662653396,,es-ES
